iter	Passed	Remaining
0	13	18274
1	26	18443
2	41	19335
3	54	19043
4	68	19103
5	80	18795
6	93	18610
7	109	18985
8	123	19051
9	136	18905
10	149	18934
11	162	18838
12	175	18674
13	187	18568
14	200	18527
15	214	18559
16	226	18447
17	239	18374
18	251	18257
19	264	18226
20	277	18199
21	292	18290
22	305	18278
23	318	18248
24	330	18199
25	344	18189
26	357	18194
27	371	18199
28	383	18150
29	397	18134
30	411	18166
31	425	18181
32	438	18177
33	452	18178
34	464	18121
35	476	18072
36	491	18094
37	504	18084
38	517	18073
39	530	18045
40	543	18002
41	555	17949
42	577	18221
43	594	18336
44	612	18453
45	626	18440
46	640	18445
47	654	18444
48	668	18438
49	683	18463
50	696	18418
51	708	18361
52	722	18351
53	736	18354
54	749	18338
55	763	18328
56	776	18289
57	788	18253
58	802	18242
59	816	18235
60	829	18206
61	843	18193
62	855	18165
63	871	18202
64	891	18303
65	908	18365
66	924	18399
67	939	18397
68	952	18371
69	967	18386
70	983	18410
71	1000	18445
72	1015	18464
73	1030	18471
74	1046	18489
75	1062	18504
76	1076	18503
77	1090	18485
78	1104	18473
79	1120	18480
80	1134	18477
81	1150	18486
82	1163	18465
83	1178	18456
84	1192	18455
85	1205	18422
86	1219	18409
87	1233	18396
88	1246	18358
89	1258	18324
90	1272	18310
91	1285	18277
92	1297	18236
93	1311	18226
94	1324	18193
95	1337	18162
96	1350	18137
97	1363	18108
98	1377	18096
99	1390	18082
100	1403	18049
101	1415	18019
102	1430	18013
103	1443	17991
104	1457	17973
105	1469	17944
106	1482	17914
107	1495	17889
108	1507	17858
109	1521	17848
110	1534	17824
111	1547	17794
112	1560	17774
113	1574	17756
114	1587	17741
115	1602	17739
116	1621	17782
117	1636	17782
118	1654	17804
119	1667	17790
120	1682	17783
121	1696	17775
122	1708	17740
123	1721	17711
124	1734	17694
125	1748	17678
126	1761	17658
127	1775	17644
128	1787	17614
129	1800	17589
130	1813	17568
131	1828	17563
132	1842	17553
133	1855	17530
134	1867	17501
135	1886	17533
136	1905	17565
137	1924	17602
138	1941	17610
139	1955	17597
140	1968	17576
141	1983	17574
142	1998	17563
143	2012	17551
144	2026	17536
145	2039	17517
146	2053	17504
147	2068	17501
148	2083	17494
149	2098	17488
150	2114	17493
151	2130	17494
152	2143	17472
153	2157	17453
154	2170	17437
155	2184	17418
156	2197	17394
157	2210	17375
158	2223	17358
159	2236	17335
160	2250	17316
161	2262	17287
162	2274	17263
163	2288	17244
164	2300	17220
165	2313	17201
166	2326	17177
167	2338	17148
168	2352	17135
169	2367	17128
170	2382	17122
171	2394	17098
172	2407	17074
173	2419	17046
174	2433	17034
175	2447	17021
176	2461	17009
177	2474	16988
178	2486	16960
179	2497	16930
180	2511	16914
181	2524	16893
182	2536	16870
183	2550	16855
184	2563	16834
185	2575	16808
186	2587	16785
187	2599	16761
188	2614	16752
189	2628	16739
190	2640	16716
191	2654	16699
192	2667	16684
193	2680	16663
194	2694	16647
195	2708	16640
196	2721	16620
197	2734	16599
198	2747	16581
199	2760	16561
200	2773	16547
201	2786	16523
202	2798	16499
203	2811	16480
204	2823	16460
205	2836	16441
206	2849	16422
207	2861	16399
208	2875	16383
209	2887	16362
210	2901	16351
211	2915	16339
212	2929	16324
213	2943	16314
214	2955	16291
215	2970	16282
216	2984	16272
217	2997	16254
218	3009	16230
219	3021	16208
220	3035	16192
221	3048	16177
222	3060	16155
223	3075	16145
224	3088	16126
225	3100	16107
226	3114	16092
227	3127	16077
228	3140	16060
229	3155	16051
230	3168	16035
231	3181	16017
232	3193	15994
233	3207	15982
234	3221	15970
235	3233	15950
236	3247	15936
237	3259	15913
238	3271	15890
