İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,totalRating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,goalsAssistsSum,accuratePasses,inaccuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,shotsOffTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltyFaced,penaltySave,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,penaltyConversion,setPieceConversion,totalAttemptAssist,totalContest,totalCross,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,scoringFrequency,yellowRedCards,savesCaught,savesParried,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,goalKicks,ballRecovery,outfielderBlocks,id,appearances,goalsPrevented,kilometersCovered,numberOfSprints,topSpeed
"Nikolai Baden Frederiksen","935076","Bundesliga 25/26","Austrian Bundesliga","WSG Tirol","7.1388888888889","128.5","18","8","5","1","3","1.75652563","11","186","79","265","70.188679245283","58","128","80","23","6","33.333333333333","5","2","2","0","0","26","38.805970149254","58","20","20","30","45.454545454545","5","22.727272727273","35","39.772727272727","1287","13.793103448276","0","0","0","0","14","3","1","7","14","44","0","8","0","26","50.980392156863","15","0","0","9","171","7","40","19","520","19","12","2","0","4","2","18","0","0","0","0","0","0","0","18","2","0","0","0","0","0","16","0","21.428571428571","23","18","67","53","17","0","0","0","51","20","3","60","160.875","0","0","0","69","196","2","2.8561","0","25","1","2340790","18","0","0","0","0"
"Nikolai Baden Frederiksen","935076","Bundesliga 23/24","Austrian Bundesliga","SC Austria Lustenau","6.56","65.6","10","0","0","0","0","0","0","54","25","79","68.354430379747","29","26","19","2","2","18.181818181818","5","1","2","0","0","1","16.666666666667","9","2","6","13","40.625","7","25.925925925926","20","33.898305084746","625","0","0","0","0","0","1","0","0","0","5","4","0","0","0","2","40","3","0","0","4","60","4","3","2","158","6","6","1","0","0","6","1","0","0","0","0","0","0","0","18","2","0","0","0","0","0","8","0","0","2","11","6","39","20","0","0","0","5","20","2","40","0","0","0","0","33","52","0","0","0","11","0","1105129","10","0","0","0","0"
"Nikolai Baden Frederiksen","935076","Superliga 24/25","Danish Superliga","Lyngby","6.625","26.5","4","0","0","0","0","0","0","4","7","11","36.363636363636","2","3","0","1","0","0","0","0","0","0","0","1","20","4","0","3","0","0","3","100","3","75","59","0","0","0","0","0","1","0","0","0","3","1","0","0","0","0","0","0","0","0","0","14","0","0","0","25","0","1","1","0","0","1","1","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","1","0","5","1","0","0","0","0","2","3","0","0","0","0","0","0","2","14","0","0","0","1","0","1485056","5","0","0","0","0"
"Nikolai Baden Frederiksen","935076","Superliga 23/24","Danish Superliga","Lyngby","0","0","0","0","0","0","0","0","0","1","0","1","100","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","100","0","0","0","0","0","0","0","0","3","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1404277","1","0","0","0","0"
"Ademola Ola-Adebomi","1212153","Bundesliga 25/26","Austrian Bundesliga","WSG Tirol","6.5","130","20","3","2","6","2","1.3417027","5","116","81","197","58.883248730964","24","92","63","14","10","30.30303030303","5","1","4","0","0","0","0","17","5","7","30","26.086956521739","39","38.613861386139","69","31.944444444444","1128","17.647058823529","0","0","1","0","0","0","3","0","16","1","2","1","0","3","42.857142857143","9","0","0","25","196","15","10","7","425","15","39","1","0","2","2","5","0","0","0","0","0","0","0","16","2","0","0","0","0","0","14","0","0","14","33","4","147","62","0","0","0","7","18","4","80","376","0","0","0","38","159","0","3.4993","0","34","1","2196889","20","0","0","0","0"
"Ademola Ola-Adebomi","1212153","Challenger Pro League 24/25","Challenger Pro League","SK Beveren","6.6875","53.5","8","0","0","1","0","0","0","51","37","88","57.954545454545","19","32","18","3","4","66.666666666667","3","1","4","0","0","0","0","11","5","3","20","44.444444444444","19","44.186046511628","39","44.318181818182","451","0","0","0","0","0","0","0","0","0","9","2","0","0","0","2","40","6","0","0","8","74","4","2","0","180","13","14","0","0","1","2","3","0","0","0","0","0","0","0","6","0","0","0","0","0","0","5","0","0","3","6","0","49","24","0","0","0","5","6","3","100","0","0","0","0","24","64","0","0","0","14","0","1512605","8","0","0","0","0"
"Thomas Sabitzer","862767","Bundesliga 25/26","Austrian Bundesliga","WSG Tirol","6.6142857142857","138.9","21","0","1","3","2","1.23755836","2","236","69","305","77.377049180328","79","157","90","12","4","28.571428571429","10","3","4","0","0","1","16.666666666667","14","4","6","53","51.456310679612","20","37.735849056604","73","46.794871794872","1204","0","0","0","3","0","0","0","0","0","10","4","0","0","0","4","28.571428571429","12","0","0","18","131","8","9","5","482","39","16","0","0","7","2","4","0","0","1","0","0","0","0","18","2","0","0","0","0","0","15","0","0","12","14","6","83","33","0","0","0","14","20","7","70","0","0","0","0","97","208","0","1.7341","0","43","1","2092854","21","0","0","0","0"
"Thomas Sabitzer","862767","Bundesliga 24/25","Austrian Bundesliga","Wolfsberger AC","6.7272727272727","74","11","1","0","0","0","0","1","73","34","107","68.224299065421","18","55","32","4","1","33.333333333333","4","0","3","0","0","0","0","8","1","4","15","48.387096774194","14","35","29","40.845070422535","457","12.5","0","0","1","0","0","0","1","0","8","0","0","0","1","0","0","1","0","0","6","66","3","4","3","176","10","8","0","0","1","1","3","0","0","0","0","0","0","0","7","0","0","0","0","0","0","6","0","0","4","3","1","42","26","0","0","0","1","7","3","75","457","0","0","0","23","85","0","0","0","8","0","1482988","14","0","0","0","0"
"Thomas Sabitzer","862767","Bundesliga 23/24","Austrian Bundesliga","Wolfsberger AC","6.6545454545455","146.4","22","1","1","5","2","0","3","178","64","242","73.553719008264","70","108","68","14","2","40","2","0","0","0","0","0","0","11","2","6","22","46.808510638298","23","41.818181818182","45","44.117647058824","749","9.0909090909091","0","0","0","0","0","0","1","0","9","2","0","0","1","3","37.5","7","0","0","6","108","2","7","4","343","18","14","0","0","3","4","3","0","0","0","0","0","0","0","11","4","0","0","0","0","0","6","0","0","14","5","3","57","32","0","0","0","8","15","1","50","749","0","0","0","82","163","0","0","0","31","0","1052203","23","0","0","0","0"
"Lukas Hinterseer","66214","Bundesliga 25/26","Austrian Bundesliga","WSG Tirol","6.535","130.7","20","1","0","0","0","0.22964207","1","73","55","128","57.03125","21","52","31","1","1","16.666666666667","1","1","2","1","1","1","50","11","1","8","13","34.210526315789","34","56.666666666667","47","47.959183673469","436","9.0909090909091","0","0","0","1","0","0","1","0","9","2","1","0","0","1","14.285714285714","16","0","0","7","95","2","6","1","235","11","16","0","0","1","3","2","0","0","0","0","0","0","0","7","1","0","0","0","0","0","0","0","0","1","6","2","51","26","0","0","0","7","8","1","100","436","0","0","0","32","96","0","0.7945","0","18","0","2092838","21","0","0","0","0"
"Lukas Hinterseer","66214","Bundesliga 24/25","Austrian Bundesliga","WSG Tirol","6.8260869565217","157","23","3","1","2","0","0","3","208","95","303","68.646864686469","84","124","59","11","8","61.538461538462","10","2","3","0","0","0","0","13","6","5","45","49.450549450549","58","51.327433628319","103","50.490196078431","1321","23.076923076923","0","0","0","0","0","0","3","0","11","2","0","0","3","5","31.25","24","0","1","23","164","6","24","10","500","27","15","0","0","7","10","2","0","0","1","0","0","0","0","16","0","0","0","0","0","0","16","0","0","11","13","5","101","55","0","0","0","16","16","6","60","440.33333333333","0","0","0","102","206","1","0","0","37","0","1482601","23","0","0","0","0"
"Lukas Hinterseer","66214","2nd Bundesliga 23/24","2. Bundesliga","F.C. Hansa Rostock","7","21","3","0","2","1","1","0","1","7","5","12","58.333333333333","0","7","6","2","0","0","0","0","1","0","0","0","0","4","0","2","1","25","5","45.454545454545","6","40","50","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","2","8","1","3","2","23","1","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","9","6","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","2","0","1053624","7","0","0","0","0"
"Moritz Wels","1127195","Bundesliga 25/26","Austrian Bundesliga","WSG Tirol","6.695652173913","154","23","5","0","11","2","1.23169401","7","260","108","368","70.652173913043","75","185","112","15","19","43.181818181818","26","6","5","0","0","4","16","46","18","14","64","42.953020134228","28","38.356164383562","92","41.441441441441","1909","10.869565217391","0","0","0","0","0","0","5","0","38","8","0","3","2","4","21.052631578947","25","0","1","22","261","9","16","9","727","21","27","1","0","15","4","14","0","0","3","0","0","0","0","26","3","0","0","0","0","0","23","0","0","15","44","25","130","45","0","0","0","19","29","11","42.307692307692","381.8","0","0","0","90","278","2","6.5995","0","51","2","2092864","23","0","0","0","0"
"Moritz Wels","1127195","Bundesliga 24/25","Austrian Bundesliga","FK Austria Wien","6.41","64.1","10","0","0","1","0","0","0","41","11","52","78.846153846154","16","25","12","0","2","33.333333333333","4","1","0","0","0","0","0","2","1","1","6","23.076923076923","6","54.545454545455","12","32.432432432432","180","0","0","0","0","0","0","0","0","0","2","0","0","0","0","4","100","1","0","0","8","31","0","1","1","89","0","6","0","0","3","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","6","1","25","5","0","0","0","4","2","4","100","0","0","0","0","19","34","0","0","0","5","0","1484678","12","0","0","0","0"
"Moritz Wels","1127195","Bundesliga 23/24","Austrian Bundesliga","FK Austria Wien","6.25","50","8","0","1","0","0","0","0","148","53","201","73.63184079602","71","79","35","9","8","44.444444444444","10","2","0","0","1","2","33.333333333333","2","0","1","20","41.666666666667","5","55.555555555556","25","43.859649122807","450","0","0","0","0","0","0","0","0","0","1","1","0","0","0","6","40","3","0","0","4","92","2","10","5","296","2","11","0","0","3","0","1","1","0","1","0","0","0","0","5","1","0","0","0","0","0","6","0","0","8","18","6","32","4","0","0","0","15","6","1","10","0","1","0","0","80","127","0","0","0","24","0","1322941","9","0","0","0","0"
"Tobias Anselm","904263","Bundesliga 25/26","Austrian Bundesliga","WSG Tirol","6.4","102.4","16","1","0","5","1","0.58479981","2","80","48","128","62.5","26","54","31","7","2","18.181818181818","3","0","0","0","0","2","25","19","4","6","12","30.769230769231","13","21.666666666667","25","25.252525252525","706","5.2631578947368","0","0","0","0","0","0","1","0","15","4","1","0","0","7","58.333333333333","7","0","0","11","96","0","9","5","244","7","3","0","0","5","1","9","0","0","0","0","0","0","0","15","0","0","0","0","0","0","8","0","0","7","11","8","74","47","0","0","0","12","15","1","33.333333333333","706","0","0","0","38","90","0","1.8609","0","16","2","2092852","17","0","0","0","0"
"Tobias Anselm","904263","Bundesliga 24/25","Austrian Bundesliga","WSG Tirol","6.615","132.3","20","2","0","3","0","0","2","82","32","114","71.929824561404","25","58","37","2","3","27.272727272727","3","1","1","0","0","1","14.285714285714","17","8","6","17","53.125","15","35.714285714286","32","43.243243243243","584","11.764705882353","0","0","1","1","0","0","2","0","14","3","0","1","1","0","0","7","0","0","5","72","5","3","1","225","11","2","0","0","1","8","3","0","0","0","0","0","0","0","13","3","0","0","0","0","0","2","0","0","2","11","7","42","27","0","0","0","0","16","2","66.666666666667","292","0","0","0","33","88","0","0","0","23","0","1482605","20","0","0","0","0"
"Yannick Votter","1510166","Bundesliga 25/26","Austrian Bundesliga","WSG Tirol","6.55","104.8","16","0","2","0","0","0.29795534","0","99","34","133","74.436090225564","44","55","30","3","12","60","5","3","3","0","0","2","33.333333333333","4","0","3","26","54.166666666667","3","60","29","54.716981132075","336","0","0","0","0","0","0","0","0","0","1","3","0","0","0","7","53.846153846154","1","0","0","6","66","2","8","6","214","10","6","0","0","2","0","1","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","3","20","6","24","2","0","0","0","13","6","3","60","0","0","0","0","54","79","0","0.109","0","33","0","2092874","17","0","0","0","0"
"Yannick Votter","1510166","Bundesliga 24/25","Austrian Bundesliga","WSG Tirol","6.6","66","10","0","0","0","0","0","0","67","22","89","75.280898876404","26","42","22","1","5","50","6","2","1","0","0","1","16.666666666667","3","0","1","15","53.571428571429","0","0","15","50","281","0","0","0","0","0","0","0","0","0","1","2","0","0","0","3","60","3","0","0","3","43","1","7","2","145","4","2","0","0","3","1","2","0","0","1","0","0","0","0","6","3","0","0","0","0","0","2","0","0","1","10","6","15","2","0","0","0","5","9","4","66.666666666667","0","0","0","0","31","64","0","0","0","20","0","1527449","12","0","0","0","0"
"Yannick Votter","1510166","Bundesliga 23/24","Austrian Bundesliga","WSG Tirol","6.5333333333333","19.6","3","0","0","0","0","0","0","8","4","12","66.666666666667","2","6","5","0","1","100","2","0","0","0","0","0","0","1","0","0","3","42.857142857143","0","0","3","37.5","38","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","8","1","1","0","24","0","2","0","0","1","0","1","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","1","0","5","1","0","0","0","1","3","1","50","0","0","0","0","4","8","0","0","0","3","0","1052373","4","0","0","0","0"
"Christian Huetz","1980099","Bundesliga 25/26","Austrian Bundesliga","WSG Tirol","6.5333333333333","19.6","3","0","1","1","0","0.15959682","0","15","9","24","62.5","2","13","6","2","3","27.272727272727","4","1","2","0","0","0","0","2","1","0","9","37.5","2","66.666666666667","11","40.740740740741","59","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","33.333333333333","0","0","0","5","26","0","1","1","62","2","2","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","11","1","16","1","0","0","0","3","1","2","50","0","0","0","0","5","19","0","0.3942","0","5","0","2392961","8","0","0","0","0"
"Christian Huetz","1980099","Bundesliga 24/25","Austrian Bundesliga","WSG Tirol","6.4","6.4","1","0","0","0","0","0","0","1","0","1","100","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1951020","1","0","0","0","0"
"Matthäus Taferner","901905","Bundesliga 25/26","Austrian Bundesliga","WSG Tirol","7.105","142.1","20","1","4","1","2","3.54545644","3","625","160","785","79.617834394904","309","316","158","38","14","50","62","33","3","0","1","35","38.461538461538","17","5","9","112","53.588516746411","2","22.222222222222","114","52.293577981651","1687","5.8823529411765","0","0","0","0","0","0","0","1","1","16","0","0","1","55","52.884615384615","25","0","3","27","301","8","84","43","1246","36","30","0","0","26","0","3","1","0","3","0","0","0","0","26","1","0","0","0","0","0","20","0","0","37","28","91","104","7","0","0","0","104","27","43","69.354838709677","1687","1","0","0","349","436","1","0.9474","0","138","2","2092836","20","0","0","0","0"
"Matthäus Taferner","901905","Bundesliga 24/25","Austrian Bundesliga","WSG Tirol","7.1333333333333","192.6","27","1","10","0","3","0","4","726","270","996","72.89156626506","297","465","248","40","30","56.603773584906","75","36","9","1","1","36","30.508474576271","22","9","6","161","53.666666666667","11","47.826086956522","172","53.250773993808","2360","4.5454545454545","0","0","0","0","2","1","0","1","1","21","0","0","1","69","47.916666666667","27","0","1","45","507","12","120","56","1690","59","43","0","0","36","2","7","2","0","7","0","0","0","0","33","5","0","0","0","0","0","27","0","50","38","53","118","151","12","0","0","0","144","38","48","64","2360","0","0","0","360","754","2","0","0","157","0","1482635","27","0","0","0","0"
"Matthäus Taferner","901905","Bundesliga 23/24","Austrian Bundesliga","WSG Tirol","7.3103448275862","212","29","1","9","2","3","0","4","749","226","975","76.820512820513","277","531","286","71","39","50","101","37","8","0","0","59","35.757575757576","23","11","7","210","53.571428571429","7","28","217","52.038369304556","2454","4.3478260869565","0","0","0","0","1","0","1","0","10","13","0","0","1","66","54.098360655738","18","0","0","41","495","20","126","67","1733","71","47","0","0","62","1","5","0","0","3","0","0","0","0","37","8","0","0","0","0","0","27","0","0","71","78","165","200","18","0","0","0","122","45","68","67.326732673267","2454","0","0","0","327","813","7","0","0","191","0","1077132","29","0","0","0","0"
"Valentino Müller","798206","Bundesliga 25/26","Austrian Bundesliga","WSG Tirol","7.2166666666667","173.2","24","10","3","3","3","2.64607957","13","803","154","957","83.908045977011","416","387","167","19","14","82.352941176471","20","31","5","0","0","3","37.5","34","17","8","58","61.702127659574","23","65.714285714286","81","62.790697674419","2160","29.411764705882","6","5","0","0","0","0","10","0","26","8","0","4","6","58","59.183673469388","43","2","2","13","198","6","59","32","1249","27","14","0","0","8","0","9","0","0","4","0","0","0","0","35","3","0","0","0","0","0","24","83.333333333333","0","19","17","8","48","12","0","0","1","98","38","10","50","216","0","0","0","457","500","4","7.4957","0","139","8","2092868","24","0","0","0","0"
"Valentino Müller","798206","Bundesliga 24/25","Austrian Bundesliga","WSG Tirol","6.99375","223.8","32","4","1","7","3","0","7","1363","261","1624","83.928571428571","848","516","209","22","13","56.521739130435","46","40","4","0","0","1","12.5","45","14","19","89","55.974842767296","43","60.56338028169","132","57.391304347826","2875","8.8888888888889","2","2","0","0","0","0","4","0","25","20","1","1","2","73","46.20253164557","80","1","2","28","338","3","100","51","2058","33","20","3","1","15","0","12","0","0","8","0","0","0","0","40","9","0","0","0","0","0","32","100","0","22","23","8","98","28","0","0","0","158","49","25","54.347826086957","718.75","0","0","0","918","714","1","0","0","178","0","1482603","32","0","0","0","0"
"Valentino Müller","798206","Bundesliga 23/24","Austrian Bundesliga","WSG Tirol","6.6","85.8","13","0","0","0","0","0","0","351","96","447","78.523489932886","209","142","62","1","2","50","11","12","2","0","0","0","0","6","0","2","22","41.509433962264","23","56.09756097561","45","47.872340425532","835","0","0","0","0","0","0","0","0","0","2","4","0","0","0","22","51.162790697674","14","0","0","6","120","2","25","12","556","9","11","0","0","12","1","4","0","0","1","0","0","0","0","10","4","0","0","0","0","0","10","0","0","1","4","0","49","18","0","0","0","43","14","5","45.454545454545","0","0","0","0","237","210","0","0","0","49","0","1052357","13","0","0","0","0"
"Mazou Bambara","1929395","Bundesliga 24/25","Austrian Bundesliga","WSG Tirol","0","0","0","0","0","0","0","0","0","1","0","1","100","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1986098","1","0","0","0","0"
"Benjamin Böckle","962272","Bundesliga 25/26","Austrian Bundesliga","WSG Tirol","6.888","172.2","25","2","6","1","2","3.31932732","4","501","315","816","61.397058823529","218","283","142","24","12","44.444444444444","38","16","2","0","0","24","26.966292134831","17","4","6","51","52.577319587629","25","54.347826086957","76","53.146853146853","2161","11.764705882353","0","0","0","0","0","0","2","0","12","5","1","1","0","59","32.596685082873","84","0","1","5","493","5","129","60","1479","2","10","0","0","17","1","7","0","0","4","0","0","0","0","35","3","0","0","0","0","0","24","0","0","24","27","89","67","21","0","0","0","181","38","26","68.421052631579","1080.5","0","0","0","315","501","2","1.2143","0","85","8","2092840","25","0","0","0","0"
"Benjamin Böckle","962272","Bundesliga 24/25","Austrian Bundesliga","SK Rapid Wien","6.8857142857143","48.2","7","0","3","0","1","0","1","197","52","249","79.116465863454","87","121","64","11","3","50","9","4","2","0","0","11","33.333333333333","2","1","1","14","42.424242424242","5","41.666666666667","19","42.222222222222","450","0","0","0","0","0","0","0","0","0","1","1","0","0","0","12","48","15","0","0","4","93","2","16","8","397","2","3","0","0","9","0","0","0","0","0","0","0","0","0","9","2","0","0","0","0","0","5","0","0","11","6","33","26","7","0","0","0","25","11","5","55.555555555556","0","0","0","0","105","177","0","0","0","22","0","1497921","7","0","0","0","0"
"Thomas Geris","1387007","Bundesliga 25/26","Austrian Bundesliga","WSG Tirol","6.8","6.8","1","0","0","0","0","0.012683","0","13","12","25","52","9","4","2","0","0","0","1","1","0","0","0","0","0","0","0","0","2","66.666666666667","1","100","3","75","66","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","33.333333333333","2","0","0","0","21","1","0","0","46","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","3","0","1","100","0","0","0","0","14","11","0","0","0","6","0","2392959","1","0","0","0","0"
"Thomas Geris","1387007","Bundesliga 24/25","Austrian Bundesliga","WSG Tirol","6.5714285714286","46","7","0","0","0","0","0","0","127","43","170","74.705882352941","73","56","27","1","0","0","9","6","0","0","0","2","16.666666666667","1","0","1","11","55","6","33.333333333333","17","44.736842105263","404","0","0","0","0","0","0","0","0","0","1","0","0","0","0","6","37.5","10","0","1","4","80","0","7","3","290","3","2","0","0","2","0","0","0","0","0","0","0","0","0","9","3","0","0","0","0","0","5","0","0","1","1","12","21","12","0","0","0","16","12","5","55.555555555556","0","0","0","0","89","93","0","0","0","19","0","1608298","8","0","0","0","0"
"Thomas Geris","1387007","Bundesliga 23/24","Austrian Bundesliga","WSG Tirol","6.6916666666667","80.3","12","0","2","0","0","0","0","119","53","172","69.186046511628","51","75","48","10","3","50","9","9","1","0","0","7","21.875","8","1","3","20","54.054054054054","2","20","22","46.808510638298","546","0","0","0","0","0","0","0","0","0","3","5","0","0","0","9","25","10","0","0","4","112","1","22","9","341","8","5","0","0","6","1","4","0","0","1","0","0","0","0","8","2","0","0","0","0","0","6","0","0","10","6","32","25","8","0","0","0","36","10","8","88.888888888889","0","0","0","0","67","137","0","0","0","33","0","1052329","13","0","0","0","0"
"Quincy Butler","901912","Bundesliga 25/26","Austrian Bundesliga","WSG Tirol","6.5888888888889","59.3","9","0","1","0","1","1.327515","1","144","37","181","79.558011049724","67","77","48","3","8","32","13","3","2","0","0","1","5.5555555555556","4","1","2","32","43.835616438356","8","53.333333333333","40","45.454545454545","712","0","0","0","0","0","0","0","0","0","1","3","0","0","0","7","33.333333333333","15","0","1","8","106","2","8","3","367","11","11","0","0","5","0","1","0","0","0","0","0","0","0","15","0","0","0","0","0","0","9","0","0","3","25","18","48","7","0","0","0","21","15","8","61.538461538462","0","0","0","0","82","99","1","0.1634","0","22","0","2092872","9","0","0","0","0"
"Quincy Butler","901912","Bundesliga 24/25","Austrian Bundesliga","WSG Tirol","6.803125","217.7","32","4","3","1","3","0","7","377","156","533","70.731707317073","152","230","128","16","51","41.463414634146","37","14","4","0","0","5","12.19512195122","28","13","6","143","48.474576271186","20","29.850746268657","163","45.027624309392","2344","14.285714285714","0","0","0","0","0","0","4","0","19","9","0","1","3","11","33.333333333333","37","0","1","32","395","16","19","11","1174","55","33","0","0","16","5","9","0","0","2","0","0","0","0","32","4","0","0","0","0","0","28","0","0","16","123","41","199","47","0","0","0","33","36","28","75.675675675676","586","0","0","0","195","379","1","0","0","75","0","1482639","32","0","0","0","0"
"Johannes Naschberger","920268","Bundesliga 25/26","Austrian Bundesliga","WSG Tirol","6.7625","162.3","24","0","5","0","1","2.00307409","1","345","114","459","75.16339869281","150","195","101","13","18","54.545454545455","42","14","4","0","0","5","17.241379310345","16","3","8","73","53.676470588235","21","44.68085106383","94","51.366120218579","1575","0","0","0","0","1","0","0","0","0","7","9","0","0","0","16","42.105263157895","27","0","0","22","270","5","26","13","911","13","14","1","0","13","2","5","0","0","5","0","0","0","0","21","3","0","0","0","0","0","17","0","0","13","33","29","89","26","0","0","0","38","24","29","69.047619047619","0","0","0","0","176","283","0","0.5425","0","74","1","2092866","24","0","0","0","0"
"Johannes Naschberger","920268","Bundesliga 24/25","Austrian Bundesliga","WSG Tirol","6.8545454545455","150.8","22","2","1","1","0","0","2","232","88","320","72.5","86","153","72","13","18","58.064516129032","37","12","2","0","0","7","36.842105263158","15","4","6","72","56.692913385827","14","41.176470588235","86","53.416149068323","1153","13.333333333333","0","0","0","0","0","0","2","0","7","8","0","1","1","17","44.736842105263","22","0","0","18","181","2","23","8","611","17","14","1","0","11","0","5","0","0","1","0","0","0","0","12","4","0","0","0","0","0","12","0","0","13","31","19","75","20","0","0","0","38","16","16","43.243243243243","576.5","0","0","0","111","228","1","0","0","66","0","1496556","24","0","0","0","0"
"Johannes Naschberger","920268","Bundesliga 23/24","Austrian Bundesliga","WSG Tirol","6.6","118.8","18","0","0","0","0","0","0","239","63","302","79.139072847682","139","103","36","5","4","57.142857142857","21","9","3","0","0","3","75","5","0","3","31","44.927536231884","11","50","42","46.153846153846","776","0","0","0","0","0","0","0","0","0","1","4","0","0","0","21","67.741935483871","12","0","0","7","90","1","20","11","420","7","8","0","0","21","1","2","0","0","1","0","0","0","0","14","1","0","0","0","0","0","7","0","0","5","7","4","49","11","0","0","0","31","15","14","66.666666666667","0","0","0","0","160","146","0","0","0","55","0","1052331","19","0","0","0","0"
"Lukas Sulzbacher","865555","Bundesliga 25/26","Austrian Bundesliga","WSG Tirol","6.8166666666667","40.9","6","0","3","0","2","0.52969378","2","70","19","89","78.651685393258","30","40","18","4","0","0","1","0","0","0","0","2","33.333333333333","0","0","0","7","50","3","42.857142857143","10","47.619047619048","363","0","0","0","0","1","0","0","0","0","0","0","0","0","0","7","46.666666666667","16","0","1","2","48","1","11","5","170","6","5","0","0","0","1","0","0","0","1","0","0","0","0","6","1","0","0","0","0","0","4","0","0","4","1","6","11","4","0","0","0","15","7","1","100","0","0","0","0","35","54","0","0","0","12","1","2687183","6","0","0","0","0"
"Lukas Sulzbacher","865555","Bundesliga 24/25","Austrian Bundesliga","WSG Tirol","6.8277777777778","122.9","18","0","1","2","0","0","0","465","137","602","77.242524916944","251","218","121","6","5","33.333333333333","30","21","6","0","0","4","12.5","7","2","2","50","47.619047619048","8","21.621621621622","58","40.845070422535","1459","0","0","0","0","0","0","0","0","0","3","4","0","0","0","46","46.464646464646","42","0","1","10","292","3","47","21","1030","15","19","0","1","17","0","3","0","0","6","0","0","0","0","15","2","0","0","0","0","0","17","0","0","6","15","32","84","29","0","0","0","99","17","21","70","0","0","0","0","292","342","1","0","0","72","0","1482581","18","0","0","0","0"
