İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,totalRating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,goalsAssistsSum,accuratePasses,inaccuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,shotsOffTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltyFaced,penaltySave,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,penaltyConversion,setPieceConversion,totalAttemptAssist,totalContest,totalCross,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,scoringFrequency,yellowRedCards,savesCaught,savesParried,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,goalKicks,ballRecovery,outfielderBlocks,id,appearances,kilometersCovered,numberOfSprints,topSpeed,goalsPrevented,substitutionsIn,substitutionsOut
"Youssoufa Moukoko","997006","Superliga 25/26","Danish Superliga","FC København","6.852380952381","143.9","21","7","0","6","1","0.66461274","8","163","63","226","72.12389380531","47","116","79","14","28","58.333333333333","9","4","1","0","0","1","20","46","24","9","45","47.872340425532","3","37.5","48","47.058823529412","1043","15.217391304348","2","2","0","0","3","0","6","1","33","13","1","5","1","10","66.666666666667","3","0","0","17","146","11","12","8","440","8","10","3","0","3","7","13","0","0","0","0","0","0","0","16","0","0","0","0","0","0","13","100","0","14","48","5","54","5","0","0","0","15","16","7","77.777777777778","149","0","0","0","56","170","2","7.053","0","41","0","2062642","21","0","0","0","0","0","0"
"Youssoufa Moukoko","997006","UEFA Champions League 25/26","UEFA Champions League","FC København","6.75","40.5","6","0","0","1","0","0.11288371","0","55","8","63","87.301587301587","23","32","20","0","2","33.333333333333","6","1","0","0","0","0","0","8","5","0","15","51.724137931034","0","0","15","44.117647058824","312","0","0","0","0","0","0","0","0","0","6","2","0","0","0","2","66.666666666667","1","0","0","4","29","4","4","4","117","7","4","0","0","2","3","3","0","0","0","0","0","0","0","9","4","0","0","0","0","0","4","0","0","0","6","0","19","5","0","0","0","3","13","2","33.333333333333","0","0","0","0","26","37","0","1.0069","0","13","0","2283315","6","38.69927","38","29.52","0","0","0"
"Youssoufa Moukoko","997006","UEFA Champions League 23/24","UEFA Champions League","Borussia Dortmund","6.55","13.1","2","0","0","0","0","0.00842602","0","8","2","10","80","3","5","3","0","1","33.333333333333","1","0","0","0","0","0","0","0","0","0","2","40","1","50","3","42.857142857143","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","8","2","1","1","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","4","1","0","0","0","0","0","0","0","0","0","0","0","4","7","0","0","0","6","0","1188782","4","0","0","0","0","0","0"
"Youssoufa Moukoko","997006","Ligue 1 24/25","Ligue 1","Nice","6.7888888888889","61.1","9","2","1","1","1","0.17868666","3","35","8","43","81.395348837209","14","22","13","5","2","28.571428571429","3","0","0","0","0","1","100","6","2","2","9","45","2","100","11","50","226","33.333333333333","0","0","0","0","0","0","2","0","5","1","1","1","0","0","0","0","0","0","4","21","2","3","1","84","4","1","0","0","1","5","2","0","0","0","0","0","0","0","2","0","0","0","0","0","0","2","0","0","5","7","1","11","0","0","0","0","0","2","2","66.666666666667","113","0","0","0","15","29","1","2.2039","0","14","0","1585876","11","0","0","0","0","0","0"
"Youssoufa Moukoko","997006","UEFA Europa League 24/25","UEFA Europa League","Nice","6.7625","54.1","8","0","1","4","1","0.71915479","1","102","16","118","86.440677966102","32","70","51","8","9","64.285714285714","10","3","0","0","0","0","0","12","2","4","24","53.333333333333","2","50","26","53.061224489796","537","0","0","0","0","0","0","0","0","0","9","3","0","0","0","3","75","1","0","0","14","52","5","1","1","216","5","1","0","0","1","4","6","0","0","0","0","0","0","0","12","1","0","0","0","0","0","7","0","0","8","14","1","23","2","0","0","0","4","13","4","40","0","0","0","0","38","81","0","1.3533","0","22","0","1604987","8","0","0","0","0","0","0"
"Youssoufa Moukoko","997006","Bundesliga 23/24","Bundesliga","Borussia Dortmund","6.795","135.9","20","5","0","1","0","0.70845118","5","102","19","121","84.297520661157","35","68","48","7","11","52.380952380952","4","2","1","0","0","1","25","14","7","4","17","35.416666666667","6","37.5","23","35.9375","640","35.714285714286","0","0","0","0","0","0","5","0","12","2","0","2","3","3","100","4","0","0","10","65","2","4","3","223","2","8","1","0","4","7","3","0","0","0","0","0","0","0","11","0","0","0","0","0","0","4","0","0","7","21","4","41","10","0","0","0","3","11","1","25","128","0","0","0","40","85","0","3.874","0","21","0","1086190","20","0","0","0","0","0","0"
"Viktor Bjarki Dadason","1510135","Superliga 25/26","Danish Superliga","FC København","6.55","78.6","12","0","0","2","1","0.26784176","1","55","21","76","72.368421052632","12","43","30","7","3","75","6","4","0","0","0","0","0","9","4","3","14","51.851851851852","17","37.777777777778","31","43.055555555556","417","0","0","0","1","0","0","0","0","0","9","0","0","0","0","0","0","4","0","0","5","53","5","2","1","159","5","7","0","0","1","1","2","0","0","0","0","0","0","0","5","0","0","0","0","0","0","4","0","0","7","4","2","41","28","0","0","0","0","5","5","83.333333333333","0","0","0","0","14","62","0","1.7313","0","13","1","2374234","12","0","0","0","0","0","0"
"Viktor Bjarki Dadason","1510135","UEFA Champions League 25/26","UEFA Champions League","FC København","6.9666666666667","41.8","6","3","0","2","0","0.25593703","3","32","16","48","66.666666666667","11","21","14","2","1","10","2","1","0","0","0","1","100","6","5","1","7","33.333333333333","9","40.909090909091","16","37.209302325581","311","50","0","0","0","0","0","0","2","1","5","1","2","0","1","2","66.666666666667","6","0","0","2","36","2","3","2","93","4","3","0","0","0","0","0","0","0","0","0","0","0","0","9","1","0","0","0","0","0","4","0","0","2","10","1","27","13","0","0","0","3","10","1","50","103.66666666667","0","0","0","15","33","0","2.3966","0","10","2","2382747","6","38.04351","37","31.428","0","0","0"
"Andreas Cornelius","183483","Superliga 25/26","Danish Superliga","FC København","6.3846153846154","83","13","0","1","1","0","0.65915897","0","68","56","124","54.838709677419","16","52","28","4","0","0","1","2","2","0","0","0","0","15","2","10","5","20.833333333333","33","55","38","45.238095238095","543","0","0","0","0","0","0","0","0","0","12","3","0","0","0","0","0","18","0","0","6","92","3","7","1","219","4","12","0","0","1","8","3","0","0","0","0","0","0","0","10","1","0","0","0","0","0","4","0","0","4","0","5","46","27","0","0","0","4","11","1","100","0","0","0","0","21","103","0","1.8897","0","14","1","2062700","13","0","0","0","0","0","0"
"Andreas Cornelius","183483","Superliga 24/25","Danish Superliga","FC København","6.95","125.1","18","3","2","7","4","0","7","188","85","273","68.864468864469","64","124","90","19","1","20","3","2","4","0","0","0","0","31","11","13","14","23.333333333333","67","67.676767676768","81","50.943396226415","1118","9.6774193548387","0","0","0","0","0","0","3","0","29","2","2","0","1","6","75","17","0","0","12","130","13","8","6","417","11","31","0","0","4","9","7","0","0","2","0","0","0","0","14","0","0","0","0","0","0","12","0","0","19","5","2","78","32","0","0","0","8","14","3","100","372.66666666667","0","0","0","86","189","1","0","0","33","0","1586100","19","0","0","0","0","0","0"
"Andreas Cornelius","183483","Superliga 23/24","Danish Superliga","FC København","7.025","112.4","16","2","4","1","1","0","3","123","72","195","63.076923076923","34","89","64","14","4","57.142857142857","3","4","0","0","0","0","0","24","7","9","15","34.090909090909","51","63.75","66","53.225806451613","648","8.3333333333333","0","0","0","0","0","0","2","0","21","3","1","1","0","3","42.857142857143","13","0","0","9","111","1","12","5","316","8","18","1","0","2","2","8","0","0","0","0","0","0","0","11","1","0","0","0","0","0","6","0","0","14","7","4","58","29","0","0","0","7","12","3","100","324","0","0","0","47","152","0","0","0","14","0","1046086","16","0","0","0","0","0","0"
"Andreas Cornelius","183483","UEFA Champions League 25/26","UEFA Champions League","FC København","6.9666666666667","20.9","3","1","0","0","0","0.03855095","1","12","9","21","57.142857142857","1","11","8","0","0","0","1","0","1","0","0","0","0","1","1","0","2","33.333333333333","9","81.818181818182","11","64.705882352941","100","100","0","0","0","0","0","0","1","0","1","0","0","1","0","1","100","3","0","0","1","12","0","0","0","32","1","3","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","6","2","0","0","0","1","1","1","100","100","0","0","0","3","18","0","0.4945","0","0","0","2434388","3","12.23221","9","31.5","0","0","0"
"Andreas Cornelius","183483","UEFA Champions League 23/24","UEFA Champions League","FC København","6.6333333333333","19.9","3","0","0","1","0","0.04034439","0","14","8","22","63.636363636364","3","11","7","2","0","0","1","0","1","0","0","0","0","1","1","0","1","25","6","66.666666666667","7","53.846153846154","79","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","15","0","1","1","33","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","1","1","6","3","0","0","0","1","1","1","100","0","0","0","0","3","20","0","0.0941","0","1","0","1248567","3","0","0","0","0","0","0"
"Geovanni Vianney","2440006","Superliga 25/26","Danish Superliga","FC København","6.55","39.3","6","0","0","0","0","0.17703308","0","11","3","14","78.571428571429","1","10","7","2","1","25","0","0","0","0","0","1","25","4","2","1","5","29.411764705882","7","53.846153846154","12","40","113","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","2","20","0","1","1","49","4","8","0","0","0","1","1","0","0","0","0","0","0","0","4","1","0","0","0","0","0","0","0","0","2","4","4","18","6","0","0","0","0","5","0","0","0","0","0","0","1","13","0","0.2384","0","2","0","2664249","6","0","0","0","0","0","0"
"Amir Richardson","1121333","Superliga 25/26","Danish Superliga","FC København","6.45","25.8","4","0","0","0","0","0.05776422","0","66","25","91","72.527472527473","22","44","27","1","6","66.666666666667","10","7","2","0","0","0","0","2","0","1","20","50","2","50","22","50","192","0","0","0","0","0","0","0","0","0","1","1","0","0","0","2","25","2","0","0","7","39","2","6","1","147","4","7","0","0","3","0","1","0","0","0","0","0","0","0","6","2","0","0","0","0","0","2","0","0","1","9","1","22","2","0","0","0","8","8","8","80","0","0","0","0","28","63","0","0.0887","0","19","0","2664244","4","0","0","0","0","0","0"
