İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,goals,assists,accuratePasses,totalPasses,accuratePassesPercentage,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,shotFromSetPiece,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToShot,wasFouled,fouls,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,crossesNotClaimed,matchesStarted,totalCross,totalLongBalls,goalsConceded,yellowRedCards,ballRecovery,appearances,countRating,bigChancesCreated,bigChancesMissed,expectedAssists,accurateOwnHalfPasses,accurateOppositionHalfPasses,tackles,interceptions,groundDuelsWon,groundDuelsWonPercentage,penaltyWon,penaltyConceded,freeKickGoal,errorLeadToGoal,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,hitWoodwork,ownGoals,penaltySave,punches,runsOut,successfulRunsOut,highClaims,setPieceConversion,totalAttemptAssist,totalContest,tacklesWon,tacklesWonPercentage,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,outfielderBlocks,goalsPrevented
Ivan Petriak,178999,Premier League 24/25,Ukrainian Premier League,Chornomorets Odesa,6.55,0,1,122,170,71.76,11,7,14,82.35,2,1,1,2,13.33,7,3,5,29.41,684,0.0,0,0,0,14,60.87,6,0,18,2,5,3,0,0,0,0,0,10,15,23,0,1,21,10,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Kyrylo Sigeev,1142405,Premier League 24/25,Ukrainian Premier League,Chornomorets Odesa,6.6076923076923,0,0,361,420,85.95,32,3,1,100.0,2,0,0,4,57.14,4,1,9,45.0,865,0.0,0,0,0,16,55.17,10,9,2,8,22,1,5,0,0,0,0,10,7,29,0,0,75,14,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Danylo Udod,1101616,Premier League 24/25,Ukrainian Premier League,Chornomorets Odesa,6.9333333333333,0,0,503,589,85.4,42,0,2,100.0,4,0,0,2,66.67,8,3,31,59.62,1080,0.0,0,0,0,41,48.81,37,6,11,14,32,0,13,0,0,0,0,12,3,84,0,0,145,12,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Roman Savchenko,1142519,Premier League 24/25,Ukrainian Premier League,Chornomorets Odesa,6.6,0,0,78,91,85.71,4,0,0,0.0,0,0,0,0,0.0,0,0,7,77.78,200,0.0,0,0,0,10,62.5,6,3,0,2,4,0,1,0,0,0,0,2,0,16,0,0,17,3,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Illia Putria,976823,Premier League 23/24,Ukrainian Premier League,Chornomorets Odesa,6.772,3,1,1087,1266,85.86,93,15,29,58.0,5,0,0,13,34.21,15,6,21,51.22,2250,20.0,3,3,0,64,57.14,59,14,24,12,69,3,4,1,0,0,0,25,38,112,0,0,175,25,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Maksym Bragaru,1111786,Premier League 23/24,Ukrainian Premier League,Chornomorets Odesa,6.9206896551724,1,2,1010,1147,88.06,61,19,132,69.47,5,0,0,3,17.65,32,6,12,40.0,2610,3.125,0,0,0,48,67.61,28,23,59,19,64,2,7,0,0,0,0,29,17,71,0,0,175,29,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Igor Kogut,823846,Premier League 24/25,Ukrainian Premier League,Chornomorets Odesa,6.8333333333333,0,0,151,186,81.18,13,5,3,75.0,2,0,0,1,25.0,8,3,9,33.33,544,0.0,0,0,0,6,60.0,11,1,7,12,8,1,2,0,0,0,0,7,4,10,0,0,43,8,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Volodymyr Salyuk,1398470,Premier League 23/24,Ukrainian Premier League,Chornomorets Odesa,6.5807692307692,0,0,1211,1349,89.77,68,4,40,78.43,6,2,2,0,0.0,3,1,69,62.16,2236,0.0,0,0,0,42,47.19,55,35,29,37,66,0,17,1,0,0,0,25,3,89,0,2,363,26,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Danylo Varakuta,985951,Premier League 23/24,Ukrainian Premier League,Chornomorets Odesa,7.0375,0,0,488,544,89.71,4,0,0,0.0,1,0,0,0,0.0,0,0,6,75.0,2160,0.0,0,0,0,118,73.29,17,12,3,2,4,0,0,0,104,5,2,24,0,161,38,0,86,24,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Oleg Bilyk,856618,Premier League 23/24,Ukrainian Premier League,Chornomorets Odesa,7.55,0,0,36,43,83.72,1,0,0,0.0,1,0,0,0,0.0,0,0,1,100.0,180,0.0,0,0,0,10,66.67,0,0,3,0,0,0,0,0,9,1,0,2,0,15,2,0,3,2,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
