İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,goals,assists,accuratePasses,totalPasses,accuratePassesPercentage,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,shotFromSetPiece,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToShot,wasFouled,fouls,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,crossesNotClaimed,matchesStarted,totalCross,totalLongBalls,goalsConceded,yellowRedCards,ballRecovery,appearances,countRating,bigChancesCreated,bigChancesMissed,expectedAssists,accurateOwnHalfPasses,accurateOppositionHalfPasses,tackles,interceptions,groundDuelsWon,groundDuelsWonPercentage,penaltyWon,penaltyConceded,freeKickGoal,errorLeadToGoal,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,hitWoodwork,ownGoals,penaltySave,punches,runsOut,successfulRunsOut,highClaims,setPieceConversion,totalAttemptAssist,totalContest,tacklesWon,tacklesWonPercentage,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,outfielderBlocks,goalsPrevented
Ivan Petriak,178999,Premier League 23/24,Ukrainian Premier League,Polissya Zhytomyr,6.5,0,0,57,67,85.07,4,3,1,25.0,2,0,0,0,0.0,3,0,1,14.29,241,0.0,0,0,0,3,75.0,2,1,5,3,7,0,0,0,0,0,0,2,1,4,0,0,14,7,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Viacheslav Tankovskyi,190459,Premier League 23/24,Ukrainian Premier League,Polissya Zhytomyr,6.8555555555556,2,2,834,951,87.7,103,13,38,62.3,9,0,1,4,30.77,19,6,20,52.63,2106,10.53,0,0,0,50,63.29,25,16,45,45,70,1,3,0,0,0,0,22,13,79,0,1,215,27,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Oleksandr Filippov,255359,Premier League 25/26,Ukrainian Premier League,Polissya Zhytomyr,6.7058823529412,2,1,125,149,83.89,4,3,7,77.78,1,0,0,1,25.0,13,7,4,21.05,742,15.38,1,0,0,4,80.0,1,3,6,7,4,6,1,0,0,0,0,8,4,5,0,0,15,17,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Igor Krasnopir,1436201,Premier League 25/26,Ukrainian Premier League,Polissya Zhytomyr,6.8318181818182,6,2,131,169,77.51,4,12,14,63.64,3,0,0,5,38.46,25,15,31,30.69,1372,24.0,0,0,0,1,50.0,3,2,12,27,1,13,2,1,0,0,0,14,13,2,0,0,25,22,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Mykola Haiduchyk,1105889,Premier League 25/26,Ukrainian Premier League,Polissya Zhytomyr,6.9181818181818,8,0,198,242,81.82,10,15,8,66.67,1,0,0,1,25.0,28,13,23,45.1,1053,28.57,0,0,0,10,76.92,6,4,10,13,4,4,4,1,0,0,0,10,4,13,0,0,41,22,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Oleksii Hutsuliak,791171,Premier League 25/26,Ukrainian Premier League,Polissya Zhytomyr,7.3421052631579,6,4,408,512,79.69,14,19,56,76.71,0,0,0,14,36.84,34,15,27,46.55,1366,17.65,1,1,3,17,70.83,12,4,29,9,17,0,5,1,0,0,0,13,38,24,0,0,63,19,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Oleksii Hutsuliak,791171,Premier League 24/25,Ukrainian Premier League,Polissya Zhytomyr,7.2655172413793,11,5,638,798,79.95,49,33,88,73.95,3,0,0,18,39.13,51,26,60,51.72,2583,21.57,1,1,1,36,70.59,16,4,47,31,20,5,1,4,0,0,0,28,46,51,0,0,131,29,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Lindon Emërllahu,1383308,Premier League 25/26,Ukrainian Premier League,Polissya Zhytomyr,6.7833333333333,1,1,134,169,79.29,13,6,8,61.54,0,0,0,6,60.0,6,1,8,38.1,436,16.67,0,0,0,3,60.0,2,4,3,4,7,2,0,0,0,0,0,6,10,5,0,0,20,6,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Oleksandr Nazarenko,943414,Premier League 25/26,Ukrainian Premier League,Polissya Zhytomyr,6.9227272727273,4,2,266,351,75.78,10,15,29,72.5,1,0,0,23,35.94,16,6,4,33.33,1276,25.0,1,1,1,9,56.25,6,3,9,5,10,3,0,1,0,0,0,11,64,16,0,0,64,22,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Oleksandr Nazarenko,943414,Premier League 24/25,Ukrainian Premier League,Polissya Zhytomyr,7.2392857142857,7,6,367,497,73.84,25,40,69,65.71,3,0,0,30,31.91,38,14,9,31.03,2053,18.42,2,2,1,16,57.14,12,5,21,10,22,4,2,2,0,0,0,22,94,28,0,0,93,28,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
