İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,goals,assists,accuratePasses,totalPasses,accuratePassesPercentage,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,shotFromSetPiece,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToShot,wasFouled,fouls,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,crossesNotClaimed,matchesStarted,totalCross,totalLongBalls,goalsConceded,yellowRedCards,ballRecovery,appearances,countRating,bigChancesCreated,bigChancesMissed,expectedAssists,accurateOwnHalfPasses,accurateOppositionHalfPasses,tackles,interceptions,groundDuelsWon,groundDuelsWonPercentage,penaltyWon,penaltyConceded,freeKickGoal,errorLeadToGoal,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,hitWoodwork,ownGoals,penaltySave,punches,runsOut,successfulRunsOut,highClaims,setPieceConversion,totalAttemptAssist,totalContest,tacklesWon,tacklesWonPercentage,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,outfielderBlocks,goalsPrevented
Oleg Ocheretko,997082,Premier League 23/24,Ukrainian Premier League,SC Dnipro-1,6.8428571428571,1,0,445,540,82.41,40,7,16,80.0,2,0,0,2,14.29,13,3,10,40.0,1194,7.692,0,0,0,20,38.46,16,5,23,21,24,1,1,0,0,0,0,12,14,52,0,0,72,16,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Oleg Horin,937189,Premier League 23/24,Ukrainian Premier League,SC Dnipro-1,6.8,0,0,115,124,92.74,10,2,2,100.0,2,0,0,0,0.0,2,2,7,70.0,188,0.0,0,0,0,8,88.89,3,0,4,6,4,0,1,0,0,0,0,2,0,9,0,0,25,4,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Oleksandr Filippov,255359,Premier League 23/24,Ukrainian Premier League,SC Dnipro-1,6.9608695652174,9,2,299,359,83.29,12,24,16,59.26,0,0,0,1,33.33,33,15,13,26.53,1595,27.27,0,0,0,2,100.0,2,2,13,22,6,13,2,1,0,0,0,20,3,2,0,0,39,23,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Oleksii Hutsuliak,791171,Premier League 23/24,Ukrainian Premier League,SC Dnipro-1,7.332,9,0,573,729,78.6,35,18,77,70.0,3,0,0,4,20.0,64,27,68,51.13,2247,14.06,0,0,1,21,65.63,36,8,44,41,27,4,2,0,0,0,0,24,20,32,0,0,113,25,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Bogdan Lednev,862061,Premier League 23/24,Ukrainian Premier League,SC Dnipro-1,6.8291666666667,4,0,536,644,83.23,23,13,28,58.33,2,0,0,8,32.0,36,13,2,10.53,1857,11.11,1,0,4,24,48.0,13,5,34,22,46,2,0,0,0,0,0,21,25,50,0,0,87,24,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Ruslan Babenko,137675,Premier League 23/24,Ukrainian Premier League,SC Dnipro-1,7.056,1,0,1346,1517,88.73,149,8,8,66.67,4,0,0,3,75.0,22,8,23,42.59,2250,4.545,1,0,1,81,61.36,43,17,28,42,62,0,11,2,0,0,0,25,4,132,0,0,268,25,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Eduard Sarapiyy,956329,Premier League 23/24,Ukrainian Premier League,SC Dnipro-1,7.1037037037037,1,1,1566,1724,90.84,122,2,8,88.89,9,1,1,0,0.0,20,10,67,56.78,2430,5.0,0,0,3,142,61.47,67,13,14,38,55,0,14,0,0,0,0,27,3,231,0,1,319,27,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Maksym Melnychenko,1605349,Premier League 23/24,Ukrainian Premier League,SC Dnipro-1,6.5,0,0,14,16,0.0,1,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,37,0.0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Yevgen Volynets,863373,Premier League 23/24,Ukrainian Premier League,SC Dnipro-1,7.1272727272727,0,0,448,545,82.2,15,1,0,0.0,2,0,0,0,0.0,1,0,14,93.33,1980,0.0,0,0,0,152,62.55,15,5,7,0,2,0,0,0,50,9,1,22,0,243,17,0,88,22,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Oleksandr Pikhalyonok,792296,Premier League 23/24,Ukrainian Premier League,SC Dnipro-1,7.6791666666667,5,3,1081,1243,86.97,155,57,41,74.55,3,0,0,25,54.35,34,13,10,43.48,2105,14.71,2,2,3,58,61.7,18,5,27,11,20,2,2,1,0,0,0,24,46,94,0,0,104,25,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Ramik Gadzhyev,1514809,Premier League 23/24,Ukrainian Premier League,SC Dnipro-1,6.575,1,0,83,108,76.85,3,2,14,73.68,4,0,0,5,45.45,7,2,5,33.33,400,14.29,0,0,0,3,75.0,3,0,2,13,10,0,0,0,0,0,0,4,11,4,0,0,22,9,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Igor Kogut,823846,Premier League 23/24,Ukrainian Premier League,SC Dnipro-1,6.8,1,0,97,118,82.2,4,5,5,71.43,2,0,0,3,50.0,11,3,8,40.0,386,9.091,0,0,0,3,100.0,2,0,10,7,2,1,1,0,0,0,0,4,6,3,0,0,17,10,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
