İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,goals,assists,accuratePasses,totalPasses,accuratePassesPercentage,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,shotFromSetPiece,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToShot,wasFouled,fouls,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,crossesNotClaimed,matchesStarted,totalCross,totalLongBalls,goalsConceded,yellowRedCards,ballRecovery,appearances,countRating,bigChancesCreated,bigChancesMissed,expectedAssists,accurateOwnHalfPasses,accurateOppositionHalfPasses,tackles,interceptions,groundDuelsWon,groundDuelsWonPercentage,penaltyWon,penaltyConceded,freeKickGoal,errorLeadToGoal,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,hitWoodwork,ownGoals,penaltySave,punches,runsOut,successfulRunsOut,highClaims,setPieceConversion,totalAttemptAssist,totalContest,tacklesWon,tacklesWonPercentage,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,outfielderBlocks,goalsPrevented
Danylo Kravchuk,1023385,Premier League 23/24,Ukrainian Premier League,FC Epicentr Dunaivtsi,7.2,1,1,50,65,76.92,2,3,8,66.67,1,0,0,0,0.0,11,3,8,53.33,294,9.091,0,0,0,1,100.0,3,2,3,2,1,1,0,0,0,0,0,3,2,1,0,0,4,3,0,0,0,0.0,0,0,0,6,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Serhii Sten,1648223,Premier League 23/24,Ukrainian Premier League,FC Epicentr Dunaivtsi,7.6,1,0,39,49,79.59,5,1,16,72.73,0,0,0,2,66.67,8,2,4,50.0,193,12.5,0,0,1,2,66.67,2,0,3,2,3,0,0,0,0,0,0,2,3,3,0,0,6,2,0,0,0,0.0,0,0,0,6,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Vladyslav Supryaga,922186,Premier League 25/26,Ukrainian Premier League,FC Epicentr Dunaivtsi,6.8,3,1,80,103,77.67,6,6,5,71.43,2,0,0,0,0.0,9,6,14,31.11,811,33.33,0,0,0,0,0.0,7,1,16,15,4,7,1,0,0,0,0,10,3,0,0,0,11,15,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Andrii Matkevych,1159593,Premier League 25/26,Ukrainian Premier League,FC Epicentr Dunaivtsi,6.6,0,0,91,126,72.22,5,5,24,72.73,0,0,0,2,13.33,5,2,3,27.27,461,0.0,0,0,0,3,42.86,5,5,14,5,11,1,0,0,0,0,0,2,15,7,0,0,29,13,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Joaquinete,1428979,Premier League 25/26,Ukrainian Premier League,FC Epicentr Dunaivtsi,7.3090909090909,6,5,428,583,73.41,26,27,108,78.83,2,0,0,20,28.99,52,17,7,18.42,1934,11.54,5,5,0,36,56.25,5,6,20,17,21,9,2,1,0,0,0,21,69,64,0,0,78,22,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Carlos Rojas,1004408,Premier League 25/26,Ukrainian Premier League,FC Epicentr Dunaivtsi,6.8,1,0,79,112,70.54,6,4,28,82.35,1,0,1,6,33.33,4,1,2,22.22,439,25.0,0,0,0,4,57.14,2,3,20,11,8,0,0,0,0,0,0,6,18,7,0,1,24,6,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Andrii Boriachuk,287667,Premier League 25/26,Ukrainian Premier League,FC Epicentr Dunaivtsi,6.7333333333333,1,0,80,103,77.67,6,5,4,50.0,0,0,0,0,0.0,14,6,1,4.55,439,7.143,0,0,1,7,63.64,6,1,4,3,0,4,1,0,0,0,0,4,3,11,0,0,13,11,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Kyrylo Kovalets,189873,Premier League 25/26,Ukrainian Premier League,FC Epicentr Dunaivtsi,6.8166666666667,1,0,62,84,73.81,4,4,8,66.67,2,0,1,1,20.0,8,5,2,50.0,299,12.5,0,0,1,3,50.0,2,2,2,3,3,0,0,1,0,0,0,3,5,6,0,1,11,6,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Jon Cebeiro,803719,Premier League 25/26,Ukrainian Premier League,FC Epicentr Dunaivtsi,6.8875,3,0,408,488,83.61,59,3,8,88.89,4,0,0,2,33.33,24,6,28,54.9,1181,12.5,0,0,0,30,50.85,14,8,10,12,17,0,2,0,0,0,0,14,6,59,0,0,110,16,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Ivan Bendera,1405514,Premier League 25/26,Ukrainian Premier League,FC Epicentr Dunaivtsi,6.275,0,0,22,29,75.86,4,1,2,40.0,0,0,0,1,100.0,1,1,0,0.0,138,0.0,0,0,0,2,100.0,1,2,1,2,2,0,0,0,0,0,0,1,1,2,0,0,4,4,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Ivan Bendera,1405514,Premier League 23/24,Ukrainian Premier League,FC Epicentr Dunaivtsi,6.7,1,0,26,32,81.25,4,1,4,66.67,0,0,0,0,0.0,2,1,1,100.0,163,50.0,0,0,0,0,0.0,2,0,3,1,3,0,0,0,0,0,0,2,1,0,0,0,5,3,0,0,0,0.0,0,0,0,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Andriy  Bezhenar,1648230,Premier League 25/26,Ukrainian Premier League,FC Epicentr Dunaivtsi,6.7214285714286,0,0,198,236,83.9,12,10,10,83.33,0,0,0,5,45.45,4,2,4,40.0,510,0.0,0,0,0,4,36.36,0,2,3,1,3,0,0,1,0,0,0,0,11,11,0,0,32,15,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
