İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,goals,assists,accuratePasses,totalPasses,accuratePassesPercentage,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,shotFromSetPiece,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToShot,wasFouled,fouls,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,crossesNotClaimed,matchesStarted,totalCross,totalLongBalls,goalsConceded,yellowRedCards,ballRecovery,appearances,countRating,bigChancesCreated,bigChancesMissed,expectedAssists,accurateOwnHalfPasses,accurateOppositionHalfPasses,tackles,interceptions,groundDuelsWon,groundDuelsWonPercentage,penaltyWon,penaltyConceded,freeKickGoal,errorLeadToGoal,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,hitWoodwork,ownGoals,penaltySave,punches,runsOut,successfulRunsOut,highClaims,setPieceConversion,totalAttemptAssist,totalContest,tacklesWon,tacklesWonPercentage,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,outfielderBlocks,goalsPrevented
Orest Lepskyi,1918880,Premier League 24/25,Ukrainian Premier League,NK Veres Rivne,6.4333333333333,0,0,4,7,0.0,2,0,1,50.0,0,0,0,0,0.0,0,0,0,0.0,33,0.0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Mykola Haiduchyk,1105889,Premier League 24/25,Ukrainian Premier League,NK Veres Rivne,6.7966666666667,6,0,307,430,71.4,44,18,13,59.09,2,0,0,4,30.77,43,15,85,44.74,2010,13.95,2,1,1,18,51.43,24,10,27,29,16,9,2,0,0,0,0,21,13,35,0,0,76,30,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Mykola Haiduchyk,1105889,Premier League 23/24,Ukrainian Premier League,NK Veres Rivne,6.8166666666667,3,1,231,303,76.24,25,16,6,50.0,2,0,0,2,22.22,24,6,62,43.66,1593,12.5,0,0,0,12,66.67,20,7,23,32,11,7,1,0,0,0,0,18,9,18,0,0,56,28,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
André Gonçalves,1000569,Premier League 25/26,Ukrainian Premier League,NK Veres Rivne,6.6285714285714,0,0,55,82,67.07,3,1,17,73.91,1,0,0,5,38.46,6,2,3,33.33,378,0.0,0,0,0,3,27.27,0,1,2,5,9,0,0,0,0,0,0,4,13,11,0,0,9,8,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Alagie Wally,2207446,Premier League 25/26,Ukrainian Premier League,NK Veres Rivne,6.6,0,0,18,23,78.26,1,0,0,0.0,0,0,0,1,50.0,0,0,4,57.14,163,0.0,0,0,0,1,100.0,1,1,6,4,0,0,1,0,0,0,0,1,2,1,0,0,4,5,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Guilherme Bahia,1835762,Premier League 25/26,Ukrainian Premier League,NK Veres Rivne,6.5833333333333,0,0,25,32,78.13,1,2,12,75.0,1,0,0,0,0.0,6,1,2,33.33,239,0.0,0,0,0,0,0.0,2,0,2,2,2,1,0,0,0,0,0,2,3,1,0,0,10,6,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Denys Ndukve,1186166,Premier League 25/26,Ukrainian Premier League,NK Veres Rivne,6.96,3,1,105,150,70.0,5,8,19,79.17,2,1,1,2,100.0,24,10,20,30.77,1036,12.5,0,0,0,2,100.0,4,2,15,13,2,4,0,0,0,0,0,13,2,2,0,1,29,15,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Dmytro Godya,1899414,Premier League 25/26,Ukrainian Premier League,NK Veres Rivne,6.5818181818182,0,0,67,102,65.69,7,0,3,42.86,3,0,0,1,20.0,9,2,6,46.15,450,0.0,0,0,0,3,37.5,4,3,15,10,2,0,1,0,0,0,0,4,5,8,0,0,24,12,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Dmytro Godya,1899414,Premier League 24/25,Ukrainian Premier League,NK Veres Rivne,6.5636363636364,0,1,106,151,70.2,11,5,8,50.0,2,0,0,1,33.33,14,2,2,13.33,744,0.0,0,0,1,6,42.86,4,2,20,16,9,0,0,0,0,0,0,7,3,14,0,0,28,23,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Dmytro Godya,1899414,Premier League 23/24,Ukrainian Premier League,NK Veres Rivne,6.4666666666667,0,0,8,12,66.67,2,0,0,0.0,0,0,0,0,0.0,0,0,1,25.0,73,0.0,0,0,0,0,0.0,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2,4,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Fabrício Yan,1502955,Premier League 25/26,Ukrainian Premier League,NK Veres Rivne,6.7,0,0,52,72,72.22,7,6,5,62.5,1,0,0,0,0.0,0,0,1,20.0,305,0.0,0,0,0,3,60.0,1,1,5,3,2,0,0,0,0,0,0,4,1,5,0,0,18,6,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Serhii Sten,1648223,Premier League 25/26,Ukrainian Premier League,NK Veres Rivne,6.5,0,0,32,52,61.54,2,3,7,77.78,1,0,0,2,25.0,4,0,9,34.62,361,0.0,0,0,0,4,100.0,2,2,4,3,3,0,0,0,0,0,0,3,8,4,0,0,4,12,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Ignat Pushkutsa,1943691,Premier League 25/26,Ukrainian Premier League,NK Veres Rivne,6.45,0,0,3,4,75.0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,50,0.0,0,0,0,1,100.0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,2,4,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Igor Kharatin,190457,Premier League 25/26,Ukrainian Premier League,NK Veres Rivne,6.9571428571429,1,1,509,631,80.67,62,11,2,100.0,3,0,0,2,50.0,14,5,61,57.01,1867,7.143,1,1,0,48,57.83,44,15,4,18,19,0,7,0,0,0,0,21,4,83,0,0,195,21,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Igor Kharatin,190457,Premier League 24/25,Ukrainian Premier League,NK Veres Rivne,7.0933333333333,3,1,506,608,83.22,50,8,1,33.33,4,0,0,1,33.33,10,7,42,68.85,1298,30.0,1,1,0,31,57.41,25,13,5,10,22,0,6,2,0,0,0,15,3,54,0,0,166,15,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Wesley Pomba,1106143,Premier League 25/26,Ukrainian Premier League,NK Veres Rivne,6.6733333333333,0,1,100,137,72.99,15,12,37,78.72,1,0,0,8,42.11,17,5,7,25.93,949,0.0,0,0,0,5,83.33,3,5,17,18,14,6,0,0,0,0,0,12,19,6,0,0,33,15,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
