İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,goals,assists,accuratePasses,totalPasses,accuratePassesPercentage,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,shotFromSetPiece,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToShot,wasFouled,fouls,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,crossesNotClaimed,matchesStarted,totalCross,totalLongBalls,goalsConceded,yellowRedCards,ballRecovery,appearances,countRating,bigChancesCreated,bigChancesMissed,expectedAssists,accurateOwnHalfPasses,accurateOppositionHalfPasses,tackles,interceptions,groundDuelsWon,groundDuelsWonPercentage,penaltyWon,penaltyConceded,freeKickGoal,errorLeadToGoal,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,hitWoodwork,ownGoals,penaltySave,punches,runsOut,successfulRunsOut,highClaims,setPieceConversion,totalAttemptAssist,totalContest,tacklesWon,tacklesWonPercentage,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,outfielderBlocks,goalsPrevented
Igor Krasnopir,1436201,Premier League 23/24,Ukrainian Premier League,Obolon Kyiv,6.9612903225806,6,1,307,415,73.98,27,26,54,67.5,1,0,0,7,22.58,36,14,32,24.81,2204,16.67,0,0,0,9,39.13,6,3,40,26,6,20,2,0,0,0,0,24,31,23,0,0,52,29,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Valeriy Dubko,1034989,Premier League 24/25,Ukrainian Premier League,Obolon Kyiv,6.8538461538462,1,0,758,958,79.12,95,4,7,100.0,4,0,1,5,55.56,12,3,62,52.54,2340,8.333,0,0,0,93,49.47,101,22,22,12,60,1,23,0,0,0,0,26,9,188,0,1,271,26,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Valeriy Dubko,1034989,Premier League 23/24,Ukrainian Premier League,Obolon Kyiv,6.8478260869565,0,2,424,588,72.11,70,5,6,66.67,6,0,0,6,37.5,6,1,33,40.74,1781,0.0,0,0,0,57,41.91,61,14,9,14,58,0,13,0,0,0,0,18,16,136,0,0,212,21,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Yevhen Pasich,792704,Premier League 25/26,Ukrainian Premier League,Obolon Kyiv,6.5833333333333,0,1,29,44,65.91,1,4,3,75.0,0,0,0,3,42.86,3,0,4,57.14,164,0.0,0,0,0,3,50.0,4,1,0,0,6,0,1,0,0,0,0,0,7,6,0,0,13,8,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Yevhen Zaporozhets,810419,Premier League 23/24,Ukrainian Premier League,Obolon Kyiv,6.4333333333333,0,0,25,35,71.43,4,2,0,0.0,0,0,0,0,0.0,0,0,0,0.0,102,0.0,0,0,0,2,40.0,0,0,0,3,5,0,0,0,0,0,0,2,0,5,0,0,8,4,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Denys Ustymenko,956775,Premier League 25/26,Ukrainian Premier League,Obolon Kyiv,6.89,6,0,144,194,74.23,10,5,16,88.89,1,0,0,3,25.0,31,14,18,23.68,1283,19.36,0,0,0,1,25.0,13,4,17,26,4,8,4,0,0,0,0,17,12,4,0,0,48,20,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Denys Ustymenko,956775,Premier League 24/25,Ukrainian Premier League,Obolon Kyiv,6.6166666666667,1,2,119,162,73.46,8,6,6,46.15,1,0,0,2,22.22,15,5,20,27.4,1114,6.667,0,0,0,2,28.57,6,3,12,14,4,7,2,0,0,0,0,12,9,7,0,0,29,25,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Serhiy Sukhanov,876108,Premier League 25/26,Ukrainian Premier League,Obolon Kyiv,6.8705882352941,4,0,109,195,55.9,17,9,29,70.73,2,0,1,9,29.03,29,11,9,28.13,1116,13.79,1,1,3,20,37.04,29,3,19,21,22,3,0,1,0,0,0,13,31,54,0,1,60,18,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Serhiy Sukhanov,876108,Premier League 24/25,Ukrainian Premier League,Obolon Kyiv,6.848,1,2,205,329,62.31,20,12,41,74.55,4,0,0,11,22.45,37,9,31,37.8,1700,2.703,1,1,0,33,53.23,25,12,24,33,32,2,3,0,0,0,0,20,49,62,0,0,88,25,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Serhiy Sukhanov,876108,Premier League 23/24,Ukrainian Premier League,Obolon Kyiv,6.8071428571429,3,0,131,202,64.85,15,12,32,47.76,2,1,1,7,26.92,43,16,18,28.13,1193,6.977,1,1,6,20,55.56,9,0,24,24,19,2,2,0,0,0,0,13,26,36,0,1,63,27,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
