Kaynak_Dosya,Hedef_Lig,Takim_TM,Oyuncu_TM,Oyuncu_ID,İsim_Sealed,Takim_Adi_Sealed,PD_Once,PD_Sonra,Not
TM_SAF_GUNCEL_Championship_25_26___Transfermarkt.csv,Ingiltere_championship,IPSWICH TOWN,Christian Walton,198038.0,Christian Walton,Ipswich Town,1200000.0,1200000.0,Sealed içinde doğrudan eşleşti
TM_SAF_GUNCEL_Championship_25_26___Transfermarkt.csv,Ingiltere_championship,IPSWICH TOWN,Alex Palmer,796143.0,Alex Palmer,Ipswich Town,1000000.0,1000000.0,Sealed içinde doğrudan eşleşti
TM_SAF_GUNCEL_Championship_25_26___Transfermarkt.csv,Ingiltere_championship,IPSWICH TOWN,Dara O'Shea,856719.0,Dara O'Shea,Ipswich Town,15000000.0,15000000.0,Sealed içinde doğrudan eşleşti
TM_SAF_GUNCEL_Championship_25_26___Transfermarkt.csv,Ingiltere_championship,IPSWICH TOWN,Jacob Greaves,990821.0,Jacob Greaves,Ipswich Town,14000000.0,14000000.0,Sealed içinde doğrudan eşleşti
TM_SAF_GUNCEL_Championship_25_26___Transfermarkt.csv,Ingiltere_championship,IPSWICH TOWN,Cédric Kipré,886802.0,Cédric Kipré,Ipswich Town,2000000.0,2000000.0,Sealed içinde doğrudan eşleşti
TM_SAF_GUNCEL_Championship_25_26___Transfermarkt.csv,Ingiltere_championship,IPSWICH TOWN,Leif Davis,963493.0,Leif Davis,Ipswich Town,20000000.0,20000000.0,Sealed içinde doğrudan eşleşti
TM_SAF_GUNCEL_Championship_25_26___Transfermarkt.csv,Ingiltere_championship,IPSWICH TOWN,Ben Johnson,914412.0,Ben Johnson,Ipswich Town,7000000.0,7000000.0,Sealed içinde doğrudan eşleşti
TM_SAF_GUNCEL_Championship_25_26___Transfermarkt.csv,Ingiltere_championship,IPSWICH TOWN,Darnell Furlong,786022.0,Darnell Furlong,Ipswich Town,3000000.0,3000000.0,Sealed içinde doğrudan eşleşti
TM_SAF_GUNCEL_Championship_25_26___Transfermarkt.csv,Ingiltere_championship,IPSWICH TOWN,Ashley Young,10589.0,Ashley Young,Ipswich Town,400000.0,400000.0,Sealed içinde doğrudan eşleşti
TM_SAF_GUNCEL_Championship_25_26___Transfermarkt.csv,Ingiltere_championship,IPSWICH TOWN,Azor Matusiwa,856495.0,Azor Matusiwa,Ipswich Town,11000000.0,11000000.0,Sealed içinde doğrudan eşleşti
TM_SAF_GUNCEL_Championship_25_26___Transfermarkt.csv,Ingiltere_championship,IPSWICH TOWN,Jens Cajuste,857671.0,Jens Cajuste,Ipswich Town,8000000.0,8000000.0,Sealed içinde doğrudan eşleşti
TM_SAF_GUNCEL_Championship_25_26___Transfermarkt.csv,Ingiltere_championship,IPSWICH TOWN,Marcelino Núñez,1014801.0,Marcelino Núñez,Ipswich Town,10000000.0,10000000.0,Sealed içinde doğrudan eşleşti
TM_SAF_GUNCEL_Championship_25_26___Transfermarkt.csv,Ingiltere_championship,IPSWICH TOWN,Dan Neil,964106.0,Dan Neil,Ipswich Town,5500000.0,5500000.0,Sealed içinde doğrudan eşleşti
TM_SAF_GUNCEL_Championship_25_26___Transfermarkt.csv,Ingiltere_championship,IPSWICH TOWN,Jack Taylor,856669.0,Jack Taylor,Ipswich Town,3000000.0,3000000.0,Sealed içinde doğrudan eşleşti
TM_SAF_GUNCEL_Championship_25_26___Transfermarkt.csv,Ingiltere_championship,IPSWICH TOWN,Kasey McAteer,1065134.0,Kasey McAteer,Ipswich Town,10000000.0,10000000.0,Sealed içinde doğrudan eşleşti
TM_SAF_GUNCEL_Championship_25_26___Transfermarkt.csv,Ingiltere_championship,IPSWICH TOWN,Wes Burns,305302.0,Wes Burns,Ipswich Town,1800000.0,1800000.0,Sealed içinde doğrudan eşleşti
TM_SAF_GUNCEL_Championship_25_26___Transfermarkt.csv,Ingiltere_championship,IPSWICH TOWN,Anis Mehmeti,1007072.0,Anis Mehmeti,Ipswich Town,14000000.0,14000000.0,Sealed içinde doğrudan eşleşti
TM_SAF_GUNCEL_Championship_25_26___Transfermarkt.csv,Ingiltere_championship,IPSWICH TOWN,Jaden Philogene,1014461.0,Jaden Philogene-Bidace,Ipswich Town,18000000.0,18000000.0,Sealed içinde doğrudan eşleşti
TM_SAF_GUNCEL_Championship_25_26___Transfermarkt.csv,Ingiltere_championship,IPSWICH TOWN,Jack Clarke,921005.0,Jack Clarke,Ipswich Town,18000000.0,18000000.0,Sealed içinde doğrudan eşleşti
TM_SAF_GUNCEL_Championship_25_26___Transfermarkt.csv,Ingiltere_championship,IPSWICH TOWN,Sindre Walle Egeli,1154598.0,Sindre Walle Egeli,Ipswich Town,18000000.0,18000000.0,Sealed içinde doğrudan eşleşti
TM_SAF_GUNCEL_Championship_25_26___Transfermarkt.csv,Ingiltere_championship,IPSWICH TOWN,George Hirst,839712.0,George Hirst,Ipswich Town,8000000.0,8000000.0,Sealed içinde doğrudan eşleşti
TM_SAF_GUNCEL_Championship_25_26___Transfermarkt.csv,Ingiltere_championship,IPSWICH TOWN,Chuba Akpom,190867.0,Chuba Akpom,Ipswich Town,5000000.0,5000000.0,Sealed içinde doğrudan eşleşti
TM_SAF_GUNCEL_Championship_25_26___Transfermarkt.csv,Ingiltere_championship,IPSWICH TOWN,Iván Azón,1000696.0,Ivan Azón,Ipswich Town,4000000.0,4000000.0,Sealed içinde doğrudan eşleşti
TM_SAF_GUNCEL_Championship_25_26___Transfermarkt.csv,Ingiltere_championship,COVENTRY CITY,Carl Rushworth,1005800.0,Carl Rushworth,Coventry City,10000000.0,10000000.0,Sealed içinde doğrudan eşleşti
TM_SAF_GUNCEL_Championship_25_26___Transfermarkt.csv,Ingiltere_championship,COVENTRY CITY,Bobby Thomas,1033352.0,Bobby Thomas,Coventry City,14000000.0,14000000.0,Sealed içinde doğrudan eşleşti
TM_SAF_GUNCEL_Championship_25_26___Transfermarkt.csv,Ingiltere_championship,COVENTRY CITY,Liam Kitching,921006.0,Liam Kitching,Coventry City,12000000.0,12000000.0,Sealed içinde doğrudan eşleşti
