İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,ballRecovery,outfielderBlocks,appearances,expectedAssists,expectedGoals,goalsPrevented
Lucas Alario,249893,Primera LPF 2026,Liga Profesional de Fútbol,Estudiantes de La Plata,6.5,1,0,0,0,0,3,4,75.0,2,1,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,1,50.0,10,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,2,2,0,0,0,1,0.0,0.0,0.0
Edwuin Cetré,927790,Primera LPF 2026,Liga Profesional de Fútbol,Estudiantes de La Plata,6.7777777777778,9,0,0,1,0,99,124,79.838709677419,24,75,42,12,5,45.454545454545,3,3,1,0,0,13,27.659574468085,10,6,21,55.263157894737,1,100.0,417,0.0,0,0,0,0,2,0,7,77.777777777778,5,0,0,6,85,7,10,6,247,13,4,1,0,2,4,3,0,0,0,0,0,0,0,0,0,3,0.0,12,11,47,9,2,1,33.333333333333,0,28,96,0,18,0,9,0.0,0.0,0.0
Edwuin Cetré,927790,Liga Profesional 2024,Liga Profesional de Fútbol,Estudiantes de La Plata,7.0090909090909,22,3,1,1,1,239,307,77.85016286645,57,208,92,23,17,53.125,10,5,1,0,0,26,27.659574468085,26,12,58,56.862745098039,13,40.625,1116,11.538461538462,1,1,0,0,2,0,13,56.521739130435,11,0,0,15,206,2,23,13,604,31,11,0,0,3,6,4,0,0,2,0,0,0,0,0,0,10,0.0,23,32,94,23,14,7,70.0,0,70,331,0,42,0,22,2.19832924,1.7735,0.0
Adolfo Gaich,940692,Primera LPF 2026,Liga Profesional de Fútbol,Estudiantes de La Plata,6.9333333333333,6,3,0,0,1,19,32,59.375,6,13,9,1,1,33.333333333333,0,0,1,0,0,0,0.0,9,5,3,23.076923076923,6,50.0,197,33.333333333333,0,0,0,0,0,0,1,50.0,1,0,0,0,17,0,0,0,58,2,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0.0,1,3,0,2,0,0,0.0,0,9,23,1,5,0,7,0.0,0.0,0.0
Guido Carrillo,174519,Primera LPF 2026,Liga Profesional de Fútbol,Estudiantes de La Plata,6.7555555555556,9,1,2,6,1,126,185,68.108108108108,35,91,53,14,3,60.0,4,1,0,0,0,0,0.0,31,15,13,46.428571428571,41,63.076923076923,786,3.2258064516129,0,0,0,0,0,0,3,75.0,13,0,0,3,84,4,14,9,280,7,7,0,0,4,2,6,1,0,3,0,0,0,0,0,0,9,0.0,13,5,0,4,5,1,25.0,0,42,143,0,12,0,9,0.0,0.0,0.0
Guido Carrillo,174519,Liga Profesional 2024,Liga Profesional de Fútbol,Estudiantes de La Plata,7.0631578947368,19,7,1,6,1,238,358,66.480446927374,88,150,84,9,8,40.0,6,2,1,0,0,0,0.0,36,20,25,43.859649122807,81,60.0,1187,19.444444444444,2,0,0,0,0,0,4,57.142857142857,18,0,0,10,166,5,16,9,518,12,4,3,0,7,2,6,0,0,1,0,0,0,0,0,0,12,0.0,9,20,1,7,14,3,50.0,0,99,260,2,34,0,19,1.1084229,6.0612,0.0
Facundo Farías,1003907,Primera LPF 2026,Liga Profesional de Fútbol,Estudiantes de La Plata,6.6,7,0,0,1,0,57,72,79.166666666667,23,34,18,4,7,70.0,2,1,0,0,0,0,0.0,8,3,15,57.692307692308,1,16.666666666667,227,0.0,0,0,0,0,0,0,7,87.5,0,0,0,5,32,1,4,3,123,6,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0.0,4,10,2,8,2,1,50.0,0,28,44,0,11,0,7,0.0,0.0,0.0
Brian Aguirre,1084962,Primera LPF 2026,Liga Profesional de Fútbol,Estudiantes de La Plata,6.55,6,0,1,0,1,33,41,80.487804878049,10,23,14,2,4,44.444444444444,1,0,0,0,0,4,21.052631578947,2,0,7,30.434782608696,1,20.0,196,0.0,0,0,0,0,0,0,6,75.0,2,0,0,3,44,1,6,5,101,2,4,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0.0,2,9,19,8,1,1,100.0,0,12,29,0,3,0,6,0.0,0.0,0.0
Tiago Palacios,1018468,Primera LPF 2026,Liga Profesional de Fútbol,Estudiantes de La Plata,7.6222222222222,9,3,4,1,1,201,239,84.100418410042,55,146,90,13,14,51.851851851852,9,3,1,0,0,9,37.5,18,5,38,50.0,3,25.0,593,16.666666666667,0,0,0,0,2,0,20,74.074074074074,2,0,0,12,104,5,28,17,398,15,9,0,0,4,1,9,0,0,0,0,0,0,0,0,0,6,0.0,13,27,24,27,4,6,66.666666666667,0,57,182,3,35,0,9,0.0,0.0,0.0
Tiago Palacios,1018468,Liga Profesional 2024,Liga Profesional de Fútbol,Estudiantes de La Plata,7.0,24,3,2,4,3,552,700,78.857142857143,148,422,238,34,42,45.652173913043,36,13,5,0,0,18,29.508196721311,55,16,110,40.441176470588,4,13.333333333333,1752,5.4545454545455,0,0,0,0,1,0,26,56.521739130435,9,0,0,64,388,12,44,20,1248,32,27,0,0,25,4,16,0,0,1,0,0,0,0,0,0,20,0.0,34,92,61,46,21,27,75.0,0,174,587,1,103,0,24,2.5225422,4.1774,0.0
Gabriel Neves,875294,Primera LPF 2026,Liga Profesional de Fútbol,Estudiantes de La Plata,6.9571428571429,7,0,0,0,0,140,172,81.395348837209,83,57,25,6,0,0.0,15,3,0,0,0,6,85.714285714286,1,0,16,61.538461538462,1,100.0,242,0.0,0,0,0,0,0,0,19,70.37037037037,13,0,1,0,35,0,26,16,225,1,2,0,0,8,0,1,0,0,0,0,0,0,0,0,0,3,0.0,6,0,7,27,1,14,93.333333333333,0,98,74,0,13,0,8,0.0,0.0,0.0
Gabriel Neves,875294,Liga Profesional 2024,Liga Profesional de Fútbol,Estudiantes de La Plata,6.8111111111111,18,0,0,0,0,625,735,85.034013605442,288,337,125,10,5,71.428571428571,27,9,4,0,0,0,0.0,5,1,35,46.052631578947,7,46.666666666667,1001,0.0,0,0,0,0,0,0,65,74.712643678161,5,0,0,8,131,3,88,60,843,3,12,0,0,19,0,1,1,0,1,0,0,0,0,0,0,13,0.0,9,7,1,87,16,17,62.962962962963,0,316,420,0,72,0,19,0.73209356,0.3209,0.0
