İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,ballRecovery,outfielderBlocks,appearances,expectedAssists,expectedGoals,goalsPrevented
Nicolás Orsini,347744,Liga Profesional 2024,Liga Profesional de Fútbol,Club Atlético Unión de Santa Fe,6.9761904761905,21,4,4,8,2,219,350,62.571428571429,67,155,96,27,8,34.782608695652,15,4,1,0,0,3,25.0,46,18,41,37.272727272727,71,46.103896103896,1554,8.695652173913,1,1,1,0,0,0,5,55.555555555556,16,0,0,35,255,8,9,6,633,18,7,2,0,12,9,9,0,0,2,0,0,0,0,0,0,20,0.0,27,23,12,9,15,9,60.0,0,86,276,0,40,0,22,1.64372373,6.3121,0.0
Cristian Tarragona,830717,Primera LPF 2026,Liga Profesional de Fútbol,Club Atlético Unión de Santa Fe,6.925,12,6,5,3,0,208,276,75.36231884058,60,148,91,22,6,35.294117647059,7,2,3,0,0,3,37.5,30,16,21,28.0,26,42.622950819672,1024,20.0,1,1,0,0,0,0,6,46.153846153846,8,0,0,17,140,4,11,9,453,8,22,0,0,4,7,4,0,0,2,0,0,0,0,0,0,12,0.0,22,17,8,13,11,6,85.714285714286,0,68,208,0,32,2,12,0.0,0.0,0.0
Marcelo Estigarribia,943166,Primera LPF 2026,Liga Profesional de Fútbol,Club Atlético Unión de Santa Fe,6.5833333333333,12,2,2,4,1,161,257,62.645914396887,38,123,81,9,1,14.285714285714,7,0,3,0,0,2,20.0,32,11,17,37.777777777778,61,58.095238095238,859,6.25,2,2,0,0,0,0,4,36.363636363636,16,0,0,6,142,7,11,6,404,9,16,0,0,1,3,5,1,0,2,0,0,0,0,0,0,10,0.0,8,7,10,11,10,5,71.428571428571,0,48,209,0,25,0,12,0.0,0.0,0.0
Diego Diaz,2058971,Primera LPF 2026,Liga Profesional de Fútbol,Club Atlético Unión de Santa Fe,6.7,5,1,2,0,0,19,28,67.857142857143,2,17,12,3,2,50.0,1,0,0,0,0,0,0.0,5,1,3,33.333333333333,0,0.0,96,20.0,0,0,0,0,0,0,0,0.0,1,0,0,0,15,0,2,1,44,0,3,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0.0,3,4,0,0,0,1,100.0,0,4,24,0,7,0,5,0.0,0.0,0.0
Agustín Colazo,1093119,Primera LPF 2026,Liga Profesional de Fútbol,Club Atlético Unión de Santa Fe,6.35,4,0,0,1,0,18,27,66.666666666667,3,15,9,1,2,40.0,4,0,0,0,0,1,100.0,4,1,7,53.846153846154,5,26.315789473684,145,0.0,0,0,0,0,0,0,0,0.0,1,0,0,0,18,1,1,0,56,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0.0,1,5,1,0,2,3,75.0,0,3,24,0,2,0,4,0.0,0.0,0.0
Misael Aguirre,2294279,Primera LPF 2026,Liga Profesional de Fútbol,Club Atlético Unión de Santa Fe,6.4777777777778,9,0,0,1,0,59,71,83.098591549296,23,36,21,2,3,60.0,4,0,0,0,0,1,20.0,7,1,7,33.333333333333,3,30.0,200,0.0,0,0,0,0,0,0,1,33.333333333333,2,0,1,4,29,0,1,1,115,0,4,1,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0.0,2,5,5,3,3,0,0.0,0,26,45,0,10,0,9,0.0,0.0,0.0
Julián Palacios,1005177,Primera LPF 2026,Liga Profesional de Fútbol,Club Atlético Unión de Santa Fe,7.0545454545455,11,2,6,0,3,236,298,79.194630872483,77,159,104,26,10,47.619047619048,15,9,2,0,0,11,35.483870967742,21,6,44,45.360824742268,2,28.571428571429,823,9.5238095238095,0,0,0,0,0,0,8,47.058823529412,1,0,0,14,138,5,24,12,499,19,15,0,0,13,1,11,0,0,0,0,0,0,0,0,0,11,0.0,26,21,31,17,8,9,60.0,0,85,213,1,42,1,11,0.0,0.0,0.0
Augusto Solari,291279,Primera LPF 2026,Liga Profesional de Fútbol,Club Atlético Unión de Santa Fe,6.55,6,0,1,1,0,58,71,81.69014084507,11,47,27,2,4,66.666666666667,5,0,0,0,0,1,20.0,5,2,9,40.909090909091,2,40.0,150,0.0,0,0,0,0,0,0,3,50.0,3,0,0,4,30,0,1,1,114,0,3,0,0,4,1,1,0,0,0,0,0,0,0,0,0,1,0.0,2,6,5,6,1,3,60.0,0,15,56,0,7,1,6,0.0,0.0,0.0
Rafael Profini,1515401,Primera LPF 2026,Liga Profesional de Fútbol,Club Atlético Unión de Santa Fe,7.0333333333333,12,1,2,1,5,414,494,83.805668016194,176,238,114,17,11,91.666666666667,15,7,0,0,0,0,0.0,10,2,40,54.054054054054,7,38.888888888889,1028,10.0,0,0,1,0,0,0,36,70.588235294118,9,0,1,13,122,3,42,35,635,14,10,0,0,10,0,4,0,0,3,0,0,0,0,0,0,12,0.0,17,12,3,51,12,7,46.666666666667,0,201,293,1,60,2,12,0.0,0.0,0.0
Rafael Profini,1515401,Liga Profesional 2024,Liga Profesional de Fútbol,Club Atlético Unión de Santa Fe,6.6,1,0,0,0,0,7,10,70.0,4,3,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,11,0.0,0,0,0,0,0,0,1,50.0,1,0,0,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,2,0,0,0.0,0,5,5,0,2,0,2,0.00139847,0.0,0.0
