İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,ballRecovery,outfielderBlocks,appearances,expectedAssists,expectedGoals,goalsPrevented
Malcom Braida,994453,Liga Profesional 2024,Liga Profesional de Fútbol,San Lorenzo,7.1384615384615,13,0,4,2,0,328,451,72.727272727273,115,225,106,11,19,50.0,37,16,4,0,0,12,32.432432432432,16,4,82,55.03355704698,34,56.666666666667,1121,0.0,0,0,0,0,0,0,22,47.826086956522,28,0,0,17,249,4,47,21,858,26,14,0,0,17,1,6,0,0,2,0,0,0,0,0,0,12,0.0,11,38,37,46,11,24,64.864864864865,0,154,334,0,72,0,13,1.47398206,0.7783,0.0
Santiago Sosa,1893308,Liga Profesional 2024,Liga Profesional de Fútbol,San Lorenzo,6.6352941176471,17,0,0,0,0,219,277,79.061371841155,122,99,42,4,2,33.333333333333,12,16,1,0,0,2,50.0,6,0,23,47.916666666667,6,46.153846153846,896,0.0,0,0,0,0,0,0,11,37.931034482759,21,0,0,7,78,1,19,12,385,9,13,0,0,2,0,0,0,0,2,0,0,0,0,0,0,11,0.0,4,6,4,29,12,7,58.333333333333,0,140,141,0,26,0,17,0.48080447,0.2039,0.0
Luciano Vietto,249407,Primera LPF 2026,Liga Profesional de Fútbol,San Lorenzo,6.7555555555556,9,2,0,1,0,120,156,76.923076923077,42,78,37,6,4,30.769230769231,7,2,3,0,0,5,23.809523809524,12,6,15,40.540540540541,0,0.0,410,16.666666666667,0,0,0,0,1,0,10,66.666666666667,5,0,0,6,82,1,14,9,255,4,5,0,0,3,1,2,0,0,0,0,0,0,0,0,0,4,0.0,6,13,21,15,3,4,57.142857142857,0,48,108,0,15,1,9,0.0,0.0,0.0
Rodrigo Auzmendi,1019621,Primera LPF 2026,Liga Profesional de Fútbol,San Lorenzo,6.67,10,2,0,5,0,40,70,57.142857142857,12,28,15,2,5,83.333333333333,0,1,1,0,0,0,0.0,15,7,6,37.5,24,51.063829787234,268,13.333333333333,0,0,0,0,1,0,2,100.0,3,0,0,2,41,4,4,3,116,2,6,1,0,1,4,5,0,0,0,0,0,0,0,0,0,1,0.0,2,6,1,2,5,0,0.0,0,16,54,1,8,0,10,0.0,0.0,0.0
Alexis Cuello,965768,Primera LPF 2026,Liga Profesional de Fútbol,San Lorenzo,6.9166666666667,12,4,3,3,3,99,167,59.281437125749,17,82,56,10,24,44.444444444444,13,5,4,0,0,1,16.666666666667,17,8,61,45.522388059701,29,36.25,1080,23.529411764706,2,1,0,0,0,0,2,50.0,8,0,1,28,189,9,8,2,427,24,20,1,0,2,6,2,0,0,6,0,0,0,0,0,0,12,0.0,10,54,6,4,12,8,61.538461538462,0,26,141,1,29,1,12,0.0,0.0,0.0
Alexis Cuello,965768,Liga Profesional 2024,Liga Profesional de Fútbol,San Lorenzo,6.8230769230769,26,4,1,6,0,225,367,61.307901907357,58,169,88,10,32,40.506329113924,32,4,1,0,0,2,13.333333333333,41,16,97,45.539906103286,50,42.735042735043,1827,9.7560975609756,0,0,2,0,0,0,5,45.454545454545,18,0,0,44,339,17,16,8,813,33,26,0,0,5,10,13,0,0,2,0,0,0,0,0,0,22,0.0,10,79,15,11,17,25,78.125,0,72,310,0,54,0,26,0.58904285,4.2758,0.0
Diego Herazo,819165,Primera LPF 2026,Liga Profesional de Fútbol,San Lorenzo,6.625,4,1,0,0,1,7,9,77.777777777778,0,7,4,2,1,16.666666666667,1,0,0,0,0,0,0.0,2,1,2,20.0,3,60.0,66,50.0,0,0,0,0,0,0,0,0.0,1,0,0,1,14,0,1,1,29,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,2,6,1,1,0,0,0.0,0,0,9,0,3,0,4,0.0,0.0,0.0
Diego Herazo,819165,Liga Profesional 2024,Liga Profesional de Fútbol,San Lorenzo,6.775,4,0,1,0,0,12,20,60.0,5,8,5,2,0,0.0,3,0,1,0,0,1,50.0,5,0,4,80.0,4,28.571428571429,134,0.0,0,0,0,0,0,0,0,0.0,1,0,0,0,13,2,1,1,37,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0.0,2,0,2,0,2,1,33.333333333333,0,6,16,0,3,0,5,0.08742128,0.2627,0.0
Matias Reali,1182457,Primera LPF 2026,Liga Profesional de Fútbol,San Lorenzo,6.78,5,0,1,1,0,35,41,85.365853658537,8,27,16,8,0,0.0,9,5,0,0,0,4,23.529411764706,3,1,12,52.173913043478,1,50.0,169,0.0,0,0,0,0,0,0,2,50.0,1,0,0,2,33,2,7,3,102,3,2,0,0,2,1,2,0,0,0,0,0,0,0,0,0,1,0.0,8,5,17,4,2,6,66.666666666667,0,8,33,0,8,0,5,0.0,0.0,0.0
Matias Reali,1182457,Liga Profesional 2024,Liga Profesional de Fútbol,San Lorenzo,6.8684210526316,19,1,0,1,0,165,214,77.102803738318,43,141,66,16,15,45.454545454545,12,7,1,0,0,19,16.964285714286,19,9,62,53.913043478261,4,40.0,1125,5.2631578947368,0,0,0,0,1,0,1,9.0909090909091,3,0,0,13,205,9,13,6,518,35,15,0,0,7,6,6,0,0,2,0,0,0,0,0,0,12,0.0,16,33,112,11,8,7,58.333333333333,0,56,270,0,36,0,19,1.47052193,0.9475,0.0
