İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,ballRecovery,outfielderBlocks,appearances,expectedAssists,expectedGoals,goalsPrevented
Éver Banega,31981,Liga Profesional 2024,Liga Profesional de Fútbol,Newell's Old Boys,7.3210526315789,19,2,5,0,2,705,865,81.50289017341,257,472,242,51,31,68.888888888889,31,2,3,0,0,24,25.531914893617,16,5,95,56.213017751479,6,21.428571428571,1527,12.5,2,2,0,0,3,0,90,66.176470588235,5,0,0,26,312,10,151,89,1202,33,18,2,0,17,1,7,1,0,0,0,0,0,0,0,0,18,0.0,50,45,94,136,21,21,67.741935483871,0,291,668,5,100,0,19,2.70840613,2.4308,0.0
Lucas Besozzi,1086339,Liga Profesional 2024,Liga Profesional de Fútbol,Newell's Old Boys,6.5888888888889,9,0,1,0,0,81,105,77.142857142857,20,63,39,3,16,53.333333333333,4,2,0,0,0,2,8.3333333333333,5,1,28,47.457627118644,1,20.0,446,0.0,0,0,0,0,0,0,1,33.333333333333,1,0,0,11,91,5,5,1,227,8,1,0,0,6,1,2,0,0,1,0,0,0,0,0,0,5,0.0,3,30,24,3,5,1,25.0,0,25,104,0,23,0,9,0.33334088,0.2132,0.0
Augusto Schott,940689,Liga Profesional 2024,Liga Profesional de Fútbol,Newell's Old Boys,6.7266666666667,15,0,0,2,0,272,377,72.148541114058,113,163,88,8,8,44.444444444444,20,18,1,0,0,4,18.181818181818,12,6,36,48.648648648649,18,54.545454545455,1015,0.0,0,0,0,0,0,0,14,33.333333333333,21,0,0,7,192,1,24,12,663,8,13,1,0,8,3,0,0,0,0,0,0,0,0,0,0,10,0.0,8,18,22,42,18,13,65.0,0,144,255,0,45,0,15,0.50936525,1.0512,0.0
Rodrigo Fernández,877599,Liga Profesional 2024,Liga Profesional de Fútbol,Newell's Old Boys,6.8352941176471,17,0,0,1,0,566,733,77.216916780355,288,278,131,11,12,50.0,52,18,7,0,1,0,0.0,12,1,74,48.366013071895,20,60.606060606061,1477,0.0,0,0,0,0,0,0,78,51.655629139073,17,1,0,12,233,4,112,63,986,10,29,1,0,28,0,3,1,0,5,0,0,0,0,0,0,17,0.0,10,24,12,151,21,40,76.923076923077,1,331,414,0,110,0,17,0.36676864,0.3095,0.0
Esteban Fernández,1065592,Liga Profesional 2024,Liga Profesional de Fútbol,Newell's Old Boys,6.65,2,0,0,0,0,20,23,86.95652173913,6,15,8,2,0,0.0,2,0,0,0,0,1,20.0,1,0,2,18.181818181818,0,0.0,36,0.0,0,0,0,0,0,0,1,100.0,0,0,0,5,18,0,0,0,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,3,5,1,0,2,100.0,0,6,22,0,3,0,3,0.10401593,0.0742,0.0
Ignacio Méndez,881170,Liga Profesional 2024,Liga Profesional de Fútbol,Newell's Old Boys,6.6,15,0,0,0,0,249,322,77.329192546584,129,122,45,6,1,50.0,24,6,3,0,0,2,100.0,4,0,32,51.612903225806,7,36.842105263158,759,0.0,0,0,0,0,0,0,17,40.47619047619,10,0,0,8,97,5,22,9,424,7,13,0,0,9,0,2,0,0,2,0,0,0,0,0,0,8,0.0,6,2,2,42,8,18,75.0,0,145,179,0,44,0,15,0.19791657,0.0961,0.0
Michael Hoyos,105717,Primera LPF 2026,Liga Profesional de Fútbol,Newell's Old Boys,6.5333333333333,9,1,0,2,0,71,96,73.958333333333,19,52,22,4,2,40.0,1,0,0,0,0,1,50.0,8,2,7,38.888888888889,15,44.117647058824,429,12.5,0,0,0,0,0,0,1,16.666666666667,8,0,0,5,49,5,9,4,162,5,3,0,0,1,3,1,0,0,0,0,0,0,0,0,0,3,0.0,4,5,2,6,9,1,100.0,0,23,73,0,14,0,9,0.0,0.0,0.0
Juan Ignacio Ramírez,877630,Primera LPF 2026,Liga Profesional de Fútbol,Newell's Old Boys,6.4714285714286,7,1,0,2,0,51,72,70.833333333333,18,33,17,2,1,33.333333333333,5,0,0,0,0,0,0.0,10,3,13,52.0,9,33.333333333333,400,10.0,1,1,0,0,0,0,1,33.333333333333,0,0,0,0,38,1,2,1,124,7,8,0,0,2,4,2,0,0,0,0,0,0,0,0,0,4,0.0,2,3,1,3,10,4,80.0,0,20,52,0,10,0,7,0.0,0.0,0.0
Juan Ignacio Ramírez,877630,Liga Profesional 2024,Liga Profesional de Fútbol,Newell's Old Boys,6.6958333333333,24,3,4,12,0,133,230,57.826086956522,56,77,46,13,2,25.0,12,1,5,0,0,0,0.0,42,12,34,40.963855421687,35,31.818181818182,1688,7.1428571428571,3,1,1,0,0,0,3,30.0,18,0,0,9,150,6,12,6,413,20,24,2,0,10,8,14,0,0,3,0,0,0,0,0,0,20,0.0,13,8,1,10,20,8,66.666666666667,0,67,164,0,28,0,25,1.28620233,8.6428,0.0
Matías Cóccaro,903286,Primera LPF 2026,Liga Profesional de Fútbol,Newell's Old Boys,6.4857142857143,7,1,0,0,0,72,101,71.287128712871,25,47,29,4,5,55.555555555556,3,3,1,0,0,2,25.0,6,2,15,45.454545454545,14,35.897435897436,460,16.666666666667,0,0,0,0,0,0,1,50.0,7,0,0,5,64,4,3,3,186,8,9,0,0,1,3,2,0,0,0,0,0,0,0,0,0,6,0.0,4,9,8,2,8,2,66.666666666667,0,29,72,0,10,0,7,0.0,0.0,0.0
