İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,ballRecovery,outfielderBlocks,appearances,expectedAssists,expectedGoals,goalsPrevented
Brian Aguirre,1084962,Liga Profesional 2024,Liga Profesional de Fútbol,Boca Juniors,6.9047619047619,21,3,3,1,1,223,311,71.704180064309,62,171,103,17,23,41.071428571429,19,3,3,0,0,10,15.625,25,11,64,44.137931034483,13,40.625,1155,12.0,0,0,0,0,2,1,15,62.5,3,0,0,16,228,6,26,13,598,22,26,0,0,11,0,6,0,0,0,0,0,0,0,0,0,14,50.0,17,56,64,24,8,10,52.631578947368,0,72,303,0,46,0,21,1.04972504,2.182,0.0
Edinson Cavani,21521,Primera LPF 2026,Liga Profesional de Fútbol,Boca Juniors,6.6,2,0,0,0,0,14,20,70.0,9,5,3,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,50.0,1,33.333333333333,103,0.0,0,0,0,0,0,0,4,80.0,0,0,0,0,8,0,2,1,24,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0.0,0,1,0,5,0,0,0.0,0,12,8,0,3,0,2,0.0,0.0,0.0
Edinson Cavani,21521,Liga Profesional 2024,Liga Profesional de Fútbol,Boca Juniors,6.7705882352941,17,4,2,11,1,183,245,74.69387755102,85,98,61,6,9,60.0,8,1,2,1,1,0,0.0,28,18,34,55.737704918033,15,45.454545454545,1302,14.285714285714,0,0,0,0,1,0,13,68.421052631579,17,0,0,7,113,4,23,16,403,17,12,0,0,4,12,3,0,0,3,0,0,0,0,0,0,16,0.0,6,15,3,19,9,3,37.5,0,100,148,0,30,0,17,0.67759338,6.4365,0.0
Ángel Romero,1197041,Primera LPF 2026,Liga Profesional de Fútbol,Boca Juniors,6.88,5,0,1,0,0,48,59,81.35593220339,15,33,15,3,1,33.333333333333,4,1,0,0,0,0,0.0,2,1,14,58.333333333333,7,50.0,181,0.0,0,0,1,0,0,0,0,0.0,2,0,0,7,30,1,4,3,106,9,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0.0,3,3,0,2,2,1,25.0,0,15,44,0,5,1,5,0.0,0.0,0.0
Exequiel Zeballos,1003011,Primera LPF 2026,Liga Profesional de Fútbol,Boca Juniors,7.1666666666667,3,1,1,1,1,53,62,85.483870967742,11,42,32,3,9,50.0,5,0,0,0,0,0,0.0,4,2,19,55.882352941176,0,0.0,270,25.0,0,0,0,0,0,0,0,0.0,1,0,0,5,48,1,1,1,136,5,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,3,0.0,3,18,7,0,2,3,60.0,0,13,49,0,11,0,3,0.0,0.0,0.0
Exequiel Zeballos,1003011,Liga Profesional 2024,Liga Profesional de Fútbol,Boca Juniors,6.695,20,1,4,8,2,172,226,76.106194690265,37,146,89,11,25,43.103448275862,8,3,2,0,0,11,18.64406779661,28,11,60,43.795620437956,8,36.363636363636,1065,3.5714285714286,0,0,0,0,3,0,1,20.0,1,0,0,26,203,9,6,2,517,28,12,1,0,8,8,8,0,0,1,0,0,0,0,0,0,11,0.0,11,58,59,5,9,5,62.5,0,43,242,0,38,0,20,1.89330091,3.3033,0.0
Miguel Merentiel,892275,Primera LPF 2026,Liga Profesional de Fútbol,Boca Juniors,6.9222222222222,9,4,2,3,2,129,169,76.331360946746,44,85,48,9,4,28.571428571429,2,1,1,0,0,3,33.333333333333,20,7,9,29.032258064516,3,37.5,713,20.0,0,0,0,0,0,0,4,50.0,1,0,1,6,83,1,17,5,259,3,2,1,0,4,0,6,1,0,2,0,0,0,0,0,0,9,0.0,8,14,9,8,3,1,50.0,0,51,118,0,18,0,9,0.0,0.0,0.0
Miguel Merentiel,892275,Liga Profesional 2024,Liga Profesional de Fútbol,Boca Juniors,6.9181818181818,22,7,7,9,3,292,403,72.456575682382,79,218,135,16,27,60.0,5,5,4,0,0,5,14.705882352941,46,17,40,38.461538461538,5,21.739130434783,1717,15.217391304348,1,1,0,0,1,0,23,69.69696969697,5,0,0,21,224,14,40,24,649,8,15,2,0,11,4,13,0,0,3,0,0,0,0,0,0,19,0.0,16,45,34,33,17,3,60.0,0,92,345,1,35,0,22,3.71990248,8.0613,0.0
Adam Bareiro,871580,Primera LPF 2026,Liga Profesional de Fútbol,Boca Juniors,6.6,6,2,0,5,1,103,134,76.865671641791,33,70,39,6,0,0.0,9,1,2,0,0,1,50.0,15,8,20,46.511627906977,19,39.583333333333,522,13.333333333333,0,0,0,0,0,0,3,50.0,10,0,0,4,53,2,8,5,218,11,12,3,0,4,2,1,0,0,1,0,0,0,0,0,0,6,0.0,6,3,2,6,3,7,77.777777777778,0,39,95,0,10,1,6,0.0,0.0,0.0
Milton Giménez,1092308,Primera LPF 2026,Liga Profesional de Fútbol,Boca Juniors,6.8,1,0,0,0,0,2,2,100.0,1,1,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,1,50.0,13,0.0,0,0,0,0,0,0,0,0.0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,1,1,0,1,0,1,0.0,0.0,0.0
