İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,ballRecovery,outfielderBlocks,appearances,expectedAssists,expectedGoals,goalsPrevented
Sasha Marcich,992126,Liga Profesional 2024,Liga Profesional de Fútbol,Platense,7.2346153846154,26,1,2,2,1,393,649,60.55469953775,142,273,133,21,19,76.0,80,42,4,0,1,22,27.16049382716,23,7,115,65.340909090909,45,65.217391304348,2186,4.3478260869565,0,0,0,0,4,0,59,33.714285714286,78,0,0,16,472,5,81,39,1402,17,29,1,0,13,0,6,0,0,13,0,0,0,0,0,0,24,0.0,21,25,81,175,16,54,67.5,1,212,518,4,77,0,26,1.5627877,1.5235,0.0
Ronaldo Martinez,874452,Liga Profesional 2024,Liga Profesional de Fútbol,Platense,6.7,25,3,1,3,0,114,255,44.705882352941,32,83,47,7,6,37.5,4,3,3,0,0,1,12.5,24,8,18,32.727272727273,74,48.684210526316,957,12.5,0,0,0,0,0,0,2,16.666666666667,15,0,0,13,204,4,13,5,412,8,16,0,0,4,2,5,0,0,0,0,0,0,0,0,0,10,0.0,7,16,8,12,7,1,25.0,0,52,211,0,38,0,25,0.44518636,1.8589,0.0
Gonzalo Lencina,974691,Primera LPF 2026,Liga Profesional de Fútbol,Platense,6.54,5,0,0,2,0,41,64,64.0625,13,28,17,4,3,50.0,5,0,0,0,0,0,0.0,5,1,14,60.869565217391,13,38.235294117647,313,0.0,0,0,0,0,0,0,2,100.0,0,0,0,1,36,1,4,2,111,7,3,0,0,2,4,1,0,0,0,0,0,0,0,0,0,4,0.0,4,6,1,2,3,4,80.0,0,17,47,0,5,0,5,0.0,0.0,0.0
Tomas Nasif,1835787,Primera LPF 2026,Liga Profesional de Fútbol,Platense,6.5375,8,1,0,2,0,41,68,60.294117647059,16,25,15,1,4,80.0,3,1,0,0,0,0,0.0,7,3,12,50.0,14,33.333333333333,306,14.285714285714,0,0,0,0,0,0,1,50.0,5,0,0,9,56,3,2,1,136,5,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0.0,1,5,0,2,2,1,33.333333333333,0,22,46,0,13,0,8,0.0,0.0,0.0
Leonardo Heredia,895720,Primera LPF 2026,Liga Profesional de Fútbol,Platense,6.3636363636364,11,0,0,1,0,66,90,73.333333333333,20,46,25,2,4,66.666666666667,2,5,1,0,0,0,0.0,9,5,10,40.0,11,29.72972972973,486,0.0,0,0,0,1,0,0,3,100.0,4,0,0,5,47,2,5,4,156,4,7,0,0,3,4,2,0,0,0,0,0,0,0,0,0,6,0.0,2,6,0,3,2,1,50.0,0,27,63,0,10,0,11,0.0,0.0,0.0
Augusto Lotti,824456,Primera LPF 2026,Liga Profesional de Fútbol,Platense,6.6285714285714,7,2,0,0,0,26,36,72.222222222222,2,24,14,2,1,100.0,3,2,0,0,0,0,0.0,6,3,4,50.0,2,25.0,169,33.333333333333,0,0,0,0,0,0,0,0.0,0,0,0,2,23,2,0,0,63,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0.0,2,1,4,0,1,3,100.0,0,4,32,0,6,0,7,0.0,0.0,0.0
Augusto Lotti,824456,Liga Profesional 2024,Liga Profesional de Fútbol,Platense,6.7,21,0,2,3,1,95,144,65.972222222222,31,66,38,8,8,66.666666666667,8,2,0,0,0,2,16.666666666667,10,4,24,47.058823529412,17,44.736842105263,632,0.0,0,0,0,0,0,0,3,33.333333333333,9,0,0,14,97,2,7,5,276,8,6,1,0,4,0,2,0,0,0,0,0,0,0,0,0,5,0.0,8,12,12,9,6,5,62.5,0,39,117,0,24,0,21,0.55852343,0.749,0.0
Benjamín Bosch,1893301,Primera LPF 2026,Liga Profesional de Fútbol,Platense,6.4,2,0,0,0,0,7,12,58.333333333333,3,4,4,0,0,0.0,0,0,0,0,0,0,0.0,1,0,1,33.333333333333,0,0.0,21,0.0,0,0,0,0,0,0,0,0.0,1,0,0,1,8,0,2,0,19,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,2,2,0,0,0.0,0,6,6,0,3,0,2,0.0,0.0,0.0
Juan Gauto,1018426,Primera LPF 2026,Liga Profesional de Fútbol,Platense,6.4181818181818,11,0,3,1,1,241,289,83.391003460208,78,163,88,16,9,22.5,7,7,0,0,0,9,21.951219512195,15,4,24,26.966292134831,1,7.6923076923077,843,0.0,0,0,0,0,0,0,14,56.0,0,0,0,17,158,5,20,11,500,8,10,1,0,7,2,6,0,0,0,0,0,0,0,0,0,10,0.0,16,40,41,25,7,3,42.857142857143,0,88,201,0,53,0,12,0.0,0.0,0.0
Santiago Dalmasso,1819599,Primera LPF 2026,Liga Profesional de Fútbol,Platense,6.5333333333333,6,0,0,0,0,62,76,81.578947368421,34,28,15,0,1,50.0,1,1,2,0,0,0,0.0,2,1,2,16.666666666667,6,66.666666666667,119,0.0,0,0,0,0,0,0,0,0.0,0,0,0,3,22,0,1,1,93,0,4,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,2,1,3,0,1,100.0,0,40,36,0,8,1,6,0.0,0.0,0.0
Martín Barrios,930196,Primera LPF 2026,Liga Profesional de Fútbol,Platense,6.6,7,0,0,0,0,153,165,92.727272727273,68,85,29,1,1,25.0,5,3,1,0,0,0,0.0,4,0,6,26.086956521739,0,0.0,295,0.0,0,0,0,0,0,0,13,81.25,7,0,0,0,24,1,8,5,206,0,8,0,0,6,0,1,0,0,0,0,0,0,0,0,0,3,0.0,1,4,2,16,2,2,40.0,0,72,93,0,17,0,7,0.0,0.0,0.0
Franco Zapiola,1212545,Primera LPF 2026,Liga Profesional de Fútbol,Platense,6.85,12,1,3,0,0,249,318,78.301886792453,58,191,114,15,13,48.148148148148,10,5,2,0,0,10,28.571428571429,17,7,37,46.835443037975,3,21.428571428571,834,5.8823529411765,0,0,0,0,2,0,20,62.5,1,0,0,14,146,1,34,17,494,14,9,0,0,5,2,4,0,0,2,0,0,0,0,0,0,11,0.0,15,27,35,32,5,4,40.0,0,67,251,0,32,1,12,0.0,0.0,0.0
Franco Zapiola,1212545,Liga Profesional 2024,Liga Profesional de Fútbol,Platense,6.4142857142857,7,0,0,0,0,37,53,69.811320754717,11,28,14,0,2,20.0,7,2,1,0,0,2,15.384615384615,4,0,12,35.294117647059,1,33.333333333333,204,0.0,0,0,0,0,1,0,0,0.0,3,0,0,6,52,1,3,1,128,3,5,0,0,3,1,1,0,0,0,0,0,0,0,0,0,2,0.0,0,10,13,4,2,3,42.857142857143,0,16,50,0,17,0,7,0.06810623,0.1242,0.0
Guido Mainero,895232,Primera LPF 2026,Liga Profesional de Fútbol,Platense,6.5083333333333,12,0,0,0,0,163,243,67.078189300412,48,115,56,6,6,40.0,8,3,0,0,0,7,15.217391304348,7,3,22,45.833333333333,5,23.809523809524,801,0.0,0,0,0,0,0,0,13,31.707317073171,11,0,0,7,158,7,31,14,393,8,7,0,0,3,2,2,0,0,1,0,0,0,0,0,0,10,0.0,6,15,46,41,4,5,62.5,0,68,175,0,42,1,12,0.0,0.0,0.0
Guido Mainero,895232,Liga Profesional 2024,Liga Profesional de Fútbol,Platense,6.9047619047619,21,4,5,5,1,281,429,65.501165501166,101,216,95,29,16,28.070175438596,27,14,6,0,0,36,29.752066115702,27,12,71,41.279069767442,13,27.083333333333,1696,14.814814814815,0,0,1,0,2,0,28,43.076923076923,22,0,0,18,347,10,52,28,876,28,26,2,0,17,3,5,0,0,0,0,0,0,0,0,0,21,0.0,29,57,121,65,9,16,59.259259259259,0,133,417,0,99,0,21,1.7899645,3.0757,0.0
Mauro Luna Diale,871804,Primera LPF 2026,Liga Profesional de Fútbol,Platense,6.6,1,0,0,0,0,2,4,50.0,2,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,1,100.0,11,0.0,0,0,0,0,0,0,0,0.0,1,0,0,0,2,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,0.0,0,3,1,0,0,0,1,0.0,0.0,0.0
Felipe Bussio,1894553,Primera LPF 2026,Liga Profesional de Fútbol,Platense,6.6,9,0,0,0,0,121,182,66.483516483516,65,56,14,3,2,33.333333333333,12,11,2,0,0,3,75.0,2,0,14,37.837837837838,11,57.894736842105,515,0.0,0,0,0,0,0,0,13,44.827586206897,20,0,0,4,85,0,17,12,277,0,11,0,0,6,0,0,0,0,2,0,0,0,0,0,0,6,0.0,3,6,4,29,3,7,58.333333333333,0,83,99,0,19,2,10,0.0,0.0,0.0
Franco Minerva,1650800,Liga Profesional 2024,Liga Profesional de Fútbol,Platense,6.7538461538462,13,1,1,0,1,81,152,53.289473684211,23,70,36,11,2,25.0,14,7,1,0,0,12,27.272727272727,10,3,18,41.860465116279,8,38.095238095238,785,10.0,0,0,1,0,0,0,9,39.130434782609,6,0,0,8,136,3,15,8,309,2,4,0,0,8,2,3,0,0,0,0,0,0,0,0,0,12,0.0,11,8,44,23,5,9,64.285714285714,0,42,154,0,24,0,13,0.60674969,0.4352,0.0
Agustín Ocampo,936244,Liga Profesional 2024,Liga Profesional de Fútbol,Platense,6.8333333333333,15,0,3,1,2,115,176,65.340909090909,46,86,44,15,13,46.428571428571,24,2,2,0,0,17,26.984126984127,11,5,56,53.846153846154,6,42.857142857143,773,0.0,0,0,0,0,0,0,16,48.484848484848,5,0,0,10,152,5,23,11,397,19,8,0,0,17,0,2,0,0,0,0,0,0,0,0,0,8,0.0,15,28,63,33,8,11,45.833333333333,0,57,182,0,48,0,15,0.98634985,0.6269,0.0
Nicolás Retamar,1190103,Primera LPF 2026,Liga Profesional de Fútbol,Platense,6.475,8,0,1,1,1,45,78,57.692307692308,15,30,14,2,3,42.857142857143,3,4,0,0,0,2,16.666666666667,5,2,7,43.75,1,33.333333333333,239,0.0,0,0,0,0,0,0,1,11.111111111111,1,0,0,3,57,2,4,2,133,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0.0,2,7,12,9,2,2,66.666666666667,0,25,53,0,15,0,8,0.0,0.0,0.0
