İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,ballRecovery,outfielderBlocks,appearances,expectedAssists,expectedGoals,goalsPrevented
Jeremias James,1173077,Liga Profesional 2024,Liga Profesional de Fútbol,Deportivo Riestra,7.2,2,1,0,0,0,8,17,47.058823529412,5,3,2,1,0,0.0,2,1,1,0,0,0,0.0,2,1,3,50.0,5,55.555555555556,164,50.0,0,0,0,0,0,0,2,40.0,11,0,0,0,12,0,2,0,43,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0.0,1,2,0,5,2,0,0.0,0,8,9,0,3,0,2,0.04326495,0.0664,0.0
Jonathan Herrera,873763,Primera LPF 2026,Liga Profesional de Fútbol,Deportivo Riestra,6.2833333333333,12,0,2,6,0,68,120,56.666666666667,21,47,31,6,4,44.444444444444,7,5,3,0,0,0,0.0,23,9,18,33.962264150943,14,41.176470588235,735,0.0,0,0,0,0,0,0,1,12.5,5,0,0,9,111,9,17,6,240,7,19,1,0,3,4,6,0,0,1,0,0,0,0,0,0,9,0.0,6,9,5,8,4,3,42.857142857143,0,26,94,0,18,0,12,0.0,0.0,0.0
Jonathan Herrera,873763,Liga Profesional 2024,Liga Profesional de Fútbol,Deportivo Riestra,6.8148148148148,27,9,4,16,0,216,345,62.608695652174,64,154,96,16,18,33.333333333333,7,7,3,0,0,2,11.764705882353,49,28,57,36.538461538462,41,34.453781512605,2216,18.367346938776,2,2,0,0,0,0,8,57.142857142857,25,0,0,34,302,10,23,14,706,33,25,4,0,6,10,6,0,0,2,0,0,0,0,0,0,25,0.0,16,54,17,14,23,6,85.714285714286,0,76,286,1,49,0,27,1.37759794,8.759,0.0
Nicolás Benegas,838770,Primera LPF 2026,Liga Profesional de Fútbol,Deportivo Riestra,6.4454545454545,11,1,1,0,0,55,122,45.081967213115,11,44,35,7,4,30.769230769231,8,1,5,0,0,0,0.0,15,7,17,28.813559322034,15,34.090909090909,447,6.6666666666667,0,0,0,0,0,0,2,18.181818181818,8,0,0,12,119,4,20,5,237,5,19,0,0,2,3,5,0,0,1,0,0,0,0,0,0,4,0.0,7,13,1,11,3,6,75.0,0,15,107,0,16,3,11,0.0,0.0,0.0
Nicolás Benegas,838770,Liga Profesional 2024,Liga Profesional de Fútbol,Deportivo Riestra,7.0705882352941,17,3,5,0,3,106,214,49.532710280374,23,85,64,14,12,42.857142857143,10,6,4,0,0,2,14.285714285714,30,7,48,38.709677419355,49,38.888888888889,954,10.0,1,1,1,0,0,0,0,0.0,4,0,0,27,207,5,22,12,451,27,34,0,0,1,0,10,0,0,0,0,0,0,0,0,0,9,0.0,14,28,14,9,5,7,70.0,0,25,203,1,35,0,17,1.97354606,2.0726,0.0
Alexander Díaz,951244,Primera LPF 2026,Liga Profesional de Fútbol,Deportivo Riestra,6.5666666666667,9,0,1,1,0,76,122,62.295081967213,9,67,43,6,6,42.857142857143,9,2,0,0,0,3,18.75,4,2,37,54.411764705882,11,29.72972972973,528,0.0,0,0,0,0,0,0,7,77.777777777778,1,0,0,14,112,1,12,7,257,22,9,0,0,3,2,0,0,0,0,0,0,0,0,0,0,7,0.0,6,14,16,9,5,6,66.666666666667,0,13,109,0,25,1,9,0.0,0.0,0.0
Alexander Díaz,951244,Liga Profesional 2024,Liga Profesional de Fútbol,Deportivo Riestra,6.8846153846154,13,2,1,0,0,62,91,68.131868131868,10,53,28,7,17,62.962962962963,14,3,1,0,0,1,6.25,9,4,62,56.880733944954,14,35.0,501,22.222222222222,0,0,0,0,0,0,5,55.555555555556,3,0,0,16,104,3,6,4,268,32,12,0,0,13,1,2,0,0,0,0,0,0,0,0,0,3,0.0,7,27,16,9,7,11,78.571428571429,0,13,94,0,34,0,15,0.39280831,1.4077,0.0
Gonzalo Flores,974690,Primera LPF 2026,Liga Profesional de Fútbol,Deportivo Riestra,6.8,1,0,0,0,0,7,7,100.0,2,5,1,0,0,0.0,2,0,0,0,0,0,0.0,0,0,2,100.0,0,0.0,8,0.0,0,0,0,0,0,0,0,0.0,1,0,0,0,2,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,1,50.0,0,2,5,0,0,0,1,0.0,0.0,0.0
Ángel Stringa,1182399,Primera LPF 2026,Liga Profesional de Fútbol,Deportivo Riestra,6.3,1,0,0,0,0,5,8,62.5,0,5,2,0,0,0.0,0,0,1,0,0,0,0.0,0,0,0,0.0,0,0.0,35,0.0,0,0,0,0,0,0,0,0.0,1,0,0,0,5,0,1,1,12,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,1,0,0,0.0,0,1,7,0,2,0,1,0.0,0.0,0.0
José Ingratti,989330,Primera LPF 2026,Liga Profesional de Fútbol,Deportivo Riestra,6.4,1,0,0,0,0,7,11,63.636363636364,4,3,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,45,0.0,0,0,0,0,0,0,0,0.0,0,0,0,2,6,0,1,0,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0.0,0,4,7,0,2,0,1,0.0,0.0,0.0
