İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,ballRecovery,outfielderBlocks,appearances,expectedAssists,expectedGoals,goalsPrevented
Milutin Vidosavljević,858238,Superliga 24/25,Mozzart Bet Superliga,FK Radnički 1923,7.375,12,5,5,4,3,192,254,75.590551181102,40,161,106,20,10,52.631578947368,11,3,1,0,0,9,40.909090909091,35,11,34,47.222222222222,9,60.0,801,14.285714285714,1,1,0,0,3,1,4,36.363636363636,3,0,0,8,106,8,11,4,413,14,14,1,0,7,4,10,0,0,1,0,0,0,0,0,0,9,33.333333333333,20,19,22,11,16,6,54.545454545455,0,47,229,3,38,0,12,0.0,0.0,0.0
Milutin Vidosavljević,858238,Superliga 23/24,Mozzart Bet Superliga,FK Radnički 1923,7.2076923076923,26,11,4,9,3,444,558,79.569892473118,127,337,223,52,24,38.095238095238,24,11,1,0,0,20,40.816326530612,67,24,86,42.574257425743,21,61.764705882353,1934,16.417910447761,4,3,1,0,3,1,26,56.521739130435,16,0,0,37,280,16,34,19,1013,42,33,3,0,10,5,17,0,0,4,0,0,0,0,0,0,23,33.333333333333,52,63,49,46,34,17,70.833333333333,0,160,447,2,96,0,26,0.0,0.0,0.0
Marko Milošević,844305,Superliga 24/25,Mozzart Bet Superliga,FK Radnički 1923,7.016,25,0,0,0,0,588,818,71.882640586797,525,63,21,0,1,100.0,2,0,0,0,0,0,0.0,0,0,7,63.636363636364,10,83.333333333333,2205,0.0,0,0,0,1,0,0,120,35.608308605341,24,2,2,0,236,0,73,44,1070,5,1,0,0,3,0,0,0,86,8,0,14,8,8,22,0,25,0.0,0,1,0,337,36,2,100.0,0,614,204,1,236,0,25,0.0,0.0,0.0
Luka Zorić,1111989,Superliga 23/24,Mozzart Bet Superliga,FK Radnički 1923,6.9222222222222,27,7,2,2,0,422,585,72.136752136752,182,244,127,20,6,75.0,38,19,7,0,0,4,25.0,34,14,58,42.028985507246,30,44.776119402985,1699,20.588235294118,0,0,1,0,1,0,34,41.463414634146,21,0,0,10,213,10,75,35,837,14,43,1,0,28,2,4,0,0,2,0,0,0,0,0,0,19,0.0,20,8,16,82,29,22,57.894736842105,0,214,387,1,95,0,28,0.0,0.0,0.0
Ester Sokler,862199,Superliga 25/26,Mozzart Bet Superliga,FK Radnički 1923,7.0809523809524,21,11,1,8,1,215,300,71.666666666667,85,130,72,9,11,55.0,14,4,3,0,0,0,0.0,38,19,45,44.554455445545,44,57.894736842105,1703,28.947368421053,1,1,2,0,0,0,2,50.0,11,0,0,16,165,6,7,5,543,22,23,1,0,8,14,6,0,0,4,0,0,0,0,0,0,20,0.0,9,20,1,4,20,9,64.285714285714,0,110,190,2,26,3,21,0.0,0.0,0.0
Evandro,801236,Superliga 25/26,Mozzart Bet Superliga,FK Radnički 1923,6.5555555555556,9,0,1,2,1,86,124,69.354838709677,32,54,33,3,4,28.571428571429,7,5,1,0,0,1,12.5,5,1,25,44.642857142857,11,35.483870967742,522,0.0,0,0,0,0,0,0,5,55.555555555556,8,0,0,8,89,3,7,4,256,14,12,0,0,3,2,1,0,0,0,0,0,0,0,0,0,6,0.0,3,14,8,9,8,4,57.142857142857,0,45,79,0,12,0,9,0.0,0.0,0.0
Evandro,801236,Superliga 24/25,Mozzart Bet Superliga,FK Radnički 1923,6.9190476190476,21,7,1,5,0,155,218,71.100917431193,64,92,63,7,11,64.705882352941,5,3,3,0,0,1,20.0,32,14,58,55.769230769231,35,48.611111111111,985,21.875,1,1,0,1,3,0,6,46.153846153846,18,0,0,10,120,5,11,6,428,43,25,2,0,8,9,7,0,0,0,0,0,0,0,0,0,12,0.0,7,17,5,13,14,3,60.0,0,81,142,1,24,0,21,0.0,0.0,0.0
Issa Bah,987250,Superliga 25/26,Mozzart Bet Superliga,FK Radnički 1923,6.6470588235294,17,1,1,0,1,174,238,73.109243697479,48,126,93,12,30,54.545454545455,13,5,0,0,0,4,16.666666666667,19,2,71,49.65034965035,17,58.620689655172,1037,5.2631578947368,0,0,1,0,0,0,3,50.0,7,1,0,21,189,2,8,5,507,28,21,0,0,6,4,8,0,0,2,0,0,0,0,0,0,10,0.0,12,55,24,6,17,9,69.230769230769,0,67,171,0,33,0,17,0.0,0.0,0.0
Issa Bah,987250,Superliga 24/25,Mozzart Bet Superliga,FK Radnički 1923,7.2083333333333,12,5,2,2,1,137,182,75.274725274725,36,103,74,14,16,51.612903225806,18,1,3,0,0,2,25.0,23,10,53,45.299145299145,13,35.135135135135,800,21.739130434783,0,0,0,0,0,0,1,33.333333333333,5,0,0,14,125,9,2,2,370,19,29,0,0,8,7,5,1,0,0,0,0,0,0,0,0,9,0.0,13,31,8,3,16,12,66.666666666667,0,39,151,2,30,0,13,0.0,0.0,0.0
Mohamed Cissé,1133670,Superliga 25/26,Mozzart Bet Superliga,FK Radnički 1923,6.9857142857143,7,0,2,0,1,73,103,70.873786407767,27,46,34,7,12,60.0,6,8,1,0,0,4,23.529411764706,10,4,39,59.090909090909,3,37.5,457,0.0,0,0,0,0,0,0,3,30.0,3,0,0,5,85,3,6,2,242,21,6,0,0,8,2,2,0,0,0,0,0,0,0,0,0,5,0.0,7,20,17,10,6,4,66.666666666667,0,33,70,0,34,0,7,0.0,0.0,0.0
Milan Vidakov,1022058,Superliga 25/26,Mozzart Bet Superliga,FK Radnički 1923,6.4444444444444,9,0,0,2,0,47,80,58.75,16,31,24,5,1,10.0,1,2,2,0,0,0,0.0,12,2,11,26.190476190476,19,50.0,327,0.0,0,0,0,0,0,0,2,22.222222222222,6,0,0,9,73,5,7,4,178,10,12,0,0,2,1,6,0,0,1,0,0,0,0,0,0,2,0.0,5,10,3,9,5,0,0.0,0,21,59,0,14,1,12,0.0,0.0,0.0
Milan Vidakov,1022058,Superliga 24/25,Mozzart Bet Superliga,FK Radnički 1923,6.9666666666667,3,0,1,1,1,6,11,54.545454545455,1,6,2,1,0,0.0,1,0,0,0,0,1,100.0,2,1,4,57.142857142857,2,50.0,46,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,6,0,0,0,20,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,1,100.0,0,3,9,0,0,0,3,0.0,0.0,0.0
Milan Vidakov,1022058,Superliga 23/24,Mozzart Bet Superliga,FK Radnički 1923,7.0125,16,6,2,3,1,108,172,62.790697674419,45,64,40,6,6,60.0,13,1,3,0,0,1,50.0,26,11,39,43.820224719101,45,52.941176470588,709,23.076923076923,0,0,0,0,0,0,1,11.111111111111,3,0,0,18,111,8,6,2,321,22,27,0,0,3,4,4,0,0,1,0,0,0,0,0,0,8,0.0,6,10,2,9,17,6,46.153846153846,0,57,117,1,21,0,16,0.0,0.0,0.0
António Pina Gomes,971009,Superliga 25/26,Mozzart Bet Superliga,FK Radnički 1923,7.0,5,0,1,1,0,53,67,79.10447761194,21,32,18,4,5,62.5,7,2,0,0,0,2,66.666666666667,4,1,14,63.636363636364,3,75.0,174,0.0,0,0,0,0,0,0,3,50.0,0,0,0,2,26,1,2,1,108,2,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,3,0.0,4,8,3,6,0,4,57.142857142857,0,25,42,1,11,0,5,0.0,0.0,0.0
Wajdi Sahli,1013823,Superliga 25/26,Mozzart Bet Superliga,FK Radnički 1923,7.0052631578947,19,4,6,1,1,326,440,74.090909090909,121,205,117,19,7,36.842105263158,31,19,3,0,0,19,22.093023255814,49,12,71,50.354609929078,29,55.769230769231,1280,8.1632653061224,0,0,0,0,6,1,25,51.020408163265,7,0,1,15,256,14,58,36,792,34,26,2,0,21,1,9,0,0,1,0,0,0,0,0,0,16,16.666666666667,19,19,86,49,18,20,64.516129032258,0,145,295,1,75,2,19,0.0,0.0,0.0
