İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,ballRecovery,outfielderBlocks,appearances,expectedAssists,expectedGoals,goalsPrevented
Dusan Jovanović,1500279,Superliga 25/26,Mozzart Bet Superliga,FK Železničar Pančevo,6.58,10,0,0,0,2,18,28,64.285714285714,5,13,8,3,3,100.0,1,0,1,1,1,1,100.0,3,2,7,46.666666666667,8,50.0,218,0.0,0,0,0,0,0,0,0,0.0,4,0,0,2,22,0,2,0,63,3,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0.0,3,3,1,1,2,1,100.0,0,6,22,0,1,0,10,0.0,0.0,0.0
Kwaku Karikari,1399471,Superliga 25/26,Mozzart Bet Superliga,FK Železničar Pančevo,6.7454545454545,22,8,3,6,1,205,273,75.091575091575,81,124,83,15,7,31.818181818182,7,5,3,0,1,2,40.0,31,13,39,40.625,37,35.238095238095,1641,25.806451612903,0,0,0,0,0,0,6,66.666666666667,15,0,0,18,165,16,8,5,512,25,27,2,0,3,14,8,0,0,2,0,0,0,0,0,0,19,0.0,15,22,5,9,23,3,42.857142857143,1,93,180,1,45,3,22,0.0,0.0,0.0
Simão Pedro,2239937,Superliga 25/26,Mozzart Bet Superliga,FK Železničar Pančevo,7.0444444444444,9,2,3,1,2,89,108,82.407407407407,23,66,36,9,6,42.857142857143,9,3,0,0,0,18,48.648648648649,18,10,22,51.162790697674,1,6.25,643,11.111111111111,0,0,0,0,0,0,4,36.363636363636,2,0,0,11,86,3,4,2,268,7,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,8,0.0,9,14,37,11,5,7,77.777777777778,0,27,81,2,13,0,9,0.0,0.0,0.0
Sumaila Wasiu,2216578,Superliga 25/26,Mozzart Bet Superliga,FK Železničar Pančevo,6.46,5,0,0,0,0,9,12,75.0,3,6,3,1,0,0.0,2,0,0,0,0,0,0.0,0,0,5,50.0,2,28.571428571429,124,0.0,0,0,0,0,0,0,0,0.0,1,0,0,1,9,1,1,0,26,3,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,1,1,0,0.0,0,4,8,0,2,0,5,0.0,0.0,0.0
Đorđe Glavinić,1479042,Superliga 25/26,Mozzart Bet Superliga,FK Železničar Pančevo,6.65,2,0,0,0,0,8,13,61.538461538462,4,4,3,0,0,0.0,0,0,0,0,0,0,0.0,5,0,6,85.714285714286,3,42.857142857143,103,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,9,1,0,0,31,6,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0.0,0,0,0,0,1,0,0.0,0,7,6,0,3,0,2,0.0,0.0,0.0
Sylvester Jasper,1013994,Superliga 25/26,Mozzart Bet Superliga,FK Železničar Pančevo,7.1846153846154,26,6,8,7,3,518,603,85.903814262023,193,325,200,35,41,50.0,20,8,3,1,1,27,22.5,50,22,118,54.62962962963,8,26.666666666667,1951,12.0,3,1,3,0,5,0,23,65.714285714286,9,1,1,24,323,11,43,22,1126,58,19,2,0,14,2,12,1,0,4,0,0,0,0,0,0,22,0.0,34,82,120,35,21,15,75.0,0,210,393,4,76,1,26,0.0,0.0,0.0
Janko Jevremović,1166001,Superliga 25/26,Mozzart Bet Superliga,FK Železničar Pančevo,6.675,20,1,1,5,0,153,196,78.061224489796,54,99,57,7,10,37.037037037037,19,2,4,0,0,5,29.411764705882,13,4,53,51.960784313725,5,27.777777777778,559,7.6923076923077,0,0,1,0,0,0,7,46.666666666667,9,0,0,11,112,6,9,4,372,24,17,0,0,5,0,5,0,0,1,0,0,0,0,0,0,2,0.0,7,27,17,15,7,10,52.631578947368,0,65,131,0,29,1,21,0.0,0.0,0.0
Janko Jevremović,1166001,Superliga 24/25,Mozzart Bet Superliga,FK Železničar Pančevo,6.5307692307692,13,0,1,1,0,103,138,74.63768115942,34,74,40,6,11,44.0,9,0,2,0,0,5,31.25,3,1,29,40.277777777778,3,30.0,418,0.0,0,0,0,0,0,0,10,62.5,1,0,0,3,88,2,16,10,251,9,11,0,0,15,1,1,0,0,0,0,0,0,0,0,0,4,0.0,6,25,16,16,5,7,77.777777777778,0,40,114,0,30,0,15,0.0,0.0,0.0
Kristian Šekularac,1087748,Superliga 25/26,Mozzart Bet Superliga,FK Železničar Pančevo,7.5,2,1,0,1,1,75,84,89.285714285714,34,41,19,2,2,28.571428571429,7,1,0,0,0,1,33.333333333333,3,1,9,52.941176470588,1,100.0,168,33.333333333333,0,0,0,0,0,0,2,50.0,2,0,0,1,20,0,5,2,115,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0.0,2,7,3,4,0,4,57.142857142857,0,38,46,0,7,0,2,0.0,0.0,0.0
Aleksa Kuljanin,1417509,Superliga 25/26,Mozzart Bet Superliga,FK Železničar Pančevo,6.7894736842105,19,1,4,4,3,159,250,63.6,48,111,75,13,38,47.5,36,5,3,0,0,3,20.0,27,5,99,46.919431279621,2,13.333333333333,1252,3.7037037037037,0,0,1,0,0,0,8,47.058823529412,5,0,0,30,263,8,15,7,622,25,19,0,0,21,1,9,1,0,0,0,0,0,0,0,0,16,0.0,12,80,15,17,16,23,63.888888888889,0,66,184,0,56,1,19,0.0,0.0,0.0
