file,league_folder,status,error,columns,total_rows,missing_sofa_id_count,missing_ratio,sofa_id_column,player_name_column
data\structured\transfermarkt\Almanya_bundesliga\1_fuballclub_heidenheim_1846.csv,Almanya_bundesliga,checked,,player_id | first_name | last_name | name | last_season | current_club_id | player_code | country_of_birth | city_of_birth | country_of_citizenship | date_of_birth | sub_position | position | foot | height_in_cm | contract_expiration_date | agent_name | image_url | international_caps | international_goals | current_national_team_id | url | current_club_domestic_competition_id | current_club_name | market_value_in_eur | highest_market_value_in_eur | sofascore_id,27,0,0.0,sofascore_id,name
data\structured\transfermarkt\Almanya_bundesliga\1_fuballclub_koln.csv,Almanya_bundesliga,checked,,player_id | first_name | last_name | name | last_season | current_club_id | player_code | country_of_birth | city_of_birth | country_of_citizenship | date_of_birth | sub_position | position | foot | height_in_cm | contract_expiration_date | agent_name | image_url | international_caps | international_goals | current_national_team_id | url | current_club_domestic_competition_id | current_club_name | market_value_in_eur | highest_market_value_in_eur | sofascore_id,25,0,0.0,sofascore_id,name
data\structured\transfermarkt\Almanya_bundesliga\1_fuballclub_union_berlin.csv,Almanya_bundesliga,checked,,player_id | first_name | last_name | name | last_season | current_club_id | player_code | country_of_birth | city_of_birth | country_of_citizenship | date_of_birth | sub_position | position | foot | height_in_cm | contract_expiration_date | agent_name | image_url | international_caps | international_goals | current_national_team_id | url | current_club_domestic_competition_id | current_club_name | market_value_in_eur | highest_market_value_in_eur | sofascore_id,22,0,0.0,sofascore_id,name
data\structured\transfermarkt\Almanya_bundesliga\1_fuball_und_sportverein_mainz_05.csv,Almanya_bundesliga,checked,,player_id | first_name | last_name | name | last_season | current_club_id | player_code | country_of_birth | city_of_birth | country_of_citizenship | date_of_birth | sub_position | position | foot | height_in_cm | contract_expiration_date | agent_name | image_url | international_caps | international_goals | current_national_team_id | url | current_club_domestic_competition_id | current_club_name | market_value_in_eur | highest_market_value_in_eur | sofascore_id,27,0,0.0,sofascore_id,name
data\structured\transfermarkt\Almanya_bundesliga\bayer_04_leverkusen_fuball.csv,Almanya_bundesliga,checked,,player_id | first_name | last_name | name | last_season | current_club_id | player_code | country_of_birth | city_of_birth | country_of_citizenship | date_of_birth | sub_position | position | foot | height_in_cm | contract_expiration_date | agent_name | image_url | international_caps | international_goals | current_national_team_id | url | current_club_domestic_competition_id | current_club_name | market_value_in_eur | highest_market_value_in_eur | sofascore_id,24,0,0.0,sofascore_id,name
data\structured\transfermarkt\Almanya_bundesliga\borussia_dortmund.csv,Almanya_bundesliga,checked,,player_id | first_name | last_name | name | last_season | current_club_id | player_code | country_of_birth | city_of_birth | country_of_citizenship | date_of_birth | sub_position | position | foot | height_in_cm | contract_expiration_date | agent_name | image_url | international_caps | international_goals | current_national_team_id | url | current_club_domestic_competition_id | current_club_name | market_value_in_eur | highest_market_value_in_eur | sofascore_id,22,0,0.0,sofascore_id,name
data\structured\transfermarkt\Almanya_bundesliga\borussia_verein_fur_leibesubungen_1900_monchengladbach.csv,Almanya_bundesliga,checked,,player_id | first_name | last_name | name | last_season | current_club_id | player_code | country_of_birth | city_of_birth | country_of_citizenship | date_of_birth | sub_position | position | foot | height_in_cm | contract_expiration_date | agent_name | image_url | international_caps | international_goals | current_national_team_id | url | current_club_domestic_competition_id | current_club_name | market_value_in_eur | highest_market_value_in_eur | sofascore_id,23,0,0.0,sofascore_id,name
data\structured\transfermarkt\Almanya_bundesliga\eintracht_frankfurt_fuball_ag.csv,Almanya_bundesliga,checked,,player_id | first_name | last_name | name | last_season | current_club_id | player_code | country_of_birth | city_of_birth | country_of_citizenship | date_of_birth | sub_position | position | foot | height_in_cm | contract_expiration_date | agent_name | image_url | international_caps | international_goals | current_national_team_id | url | current_club_domestic_competition_id | current_club_name | market_value_in_eur | highest_market_value_in_eur | sofascore_id,25,0,0.0,sofascore_id,name
data\structured\transfermarkt\Almanya_bundesliga\fc_bayern_munchen.csv,Almanya_bundesliga,checked,,player_id | first_name | last_name | name | last_season | current_club_id | player_code | country_of_birth | city_of_birth | country_of_citizenship | date_of_birth | sub_position | position | foot | height_in_cm | contract_expiration_date | agent_name | image_url | international_caps | international_goals | current_national_team_id | url | current_club_domestic_competition_id | current_club_name | market_value_in_eur | highest_market_value_in_eur | sofascore_id,22,0,0.0,sofascore_id,name
data\structured\transfermarkt\Almanya_bundesliga\fuballclub_augsburg_1907.csv,Almanya_bundesliga,checked,,player_id | first_name | last_name | name | last_season | current_club_id | player_code | country_of_birth | city_of_birth | country_of_citizenship | date_of_birth | sub_position | position | foot | height_in_cm | contract_expiration_date | agent_name | image_url | international_caps | international_goals | current_national_team_id | url | current_club_domestic_competition_id | current_club_name | market_value_in_eur | highest_market_value_in_eur | sofascore_id,23,0,0.0,sofascore_id,name
data\structured\transfermarkt\Almanya_bundesliga\fuballclub_st_pauli_von_1910.csv,Almanya_bundesliga,checked,,player_id | first_name | last_name | name | last_season | current_club_id | player_code | country_of_birth | city_of_birth | country_of_citizenship | date_of_birth | sub_position | position | foot | height_in_cm | contract_expiration_date | agent_name | image_url | international_caps | international_goals | current_national_team_id | url | current_club_domestic_competition_id | current_club_name | market_value_in_eur | highest_market_value_in_eur | sofascore_id,22,0,0.0,sofascore_id,name
data\structured\transfermarkt\Almanya_bundesliga\hamburger_sport_verein.csv,Almanya_bundesliga,checked,,player_id | first_name | last_name | name | last_season | current_club_id | player_code | country_of_birth | city_of_birth | country_of_citizenship | date_of_birth | sub_position | position | foot | height_in_cm | contract_expiration_date | agent_name | image_url | international_caps | international_goals | current_national_team_id | url | current_club_domestic_competition_id | current_club_name | market_value_in_eur | highest_market_value_in_eur | sofascore_id,24,0,0.0,sofascore_id,name
data\structured\transfermarkt\Almanya_bundesliga\rasenballsport_leipzig.csv,Almanya_bundesliga,checked,,player_id | first_name | last_name | name | last_season | current_club_id | player_code | country_of_birth | city_of_birth | country_of_citizenship | date_of_birth | sub_position | position | foot | height_in_cm | contract_expiration_date | agent_name | image_url | international_caps | international_goals | current_national_team_id | url | current_club_domestic_competition_id | current_club_name | market_value_in_eur | highest_market_value_in_eur | sofascore_id,24,0,0.0,sofascore_id,name
data\structured\transfermarkt\Almanya_bundesliga\sportclub_freiburg.csv,Almanya_bundesliga,checked,,player_id | first_name | last_name | name | last_season | current_club_id | player_code | country_of_birth | city_of_birth | country_of_citizenship | date_of_birth | sub_position | position | foot | height_in_cm | contract_expiration_date | agent_name | image_url | international_caps | international_goals | current_national_team_id | url | current_club_domestic_competition_id | current_club_name | market_value_in_eur | highest_market_value_in_eur | sofascore_id,21,0,0.0,sofascore_id,name
