path,status,error,rows,columns_count,file_size_mb,missing_total,missing_ratio,duplicate_rows,encoding,separator,columns,player_col,sofascore_id_col,market_value_col,league_col,club_col,position_col,age_col,minutes_col,goals_col,assists_col
TM_SAF_GUNCEL_Championship_25_26___Transfermarkt.csv,ok,,686.0,3.0,0.031,0.0,0.0,0.0,utf-8-sig,",",Takim | Oyuncu Adi | Guncel Piyasa Degeri,Oyuncu Adi,,Guncel Piyasa Degeri,,Takim,,Guncel Piyasa Degeri,,,
TM_SAF_GUNCEL_Chance_Liga_25_26___Transfermarkt.csv,ok,,466.0,3.0,0.021,0.0,0.0,0.0,utf-8-sig,",",Takim | Oyuncu Adi | Guncel Piyasa Degeri,Oyuncu Adi,,Guncel Piyasa Degeri,,Takim,,Guncel Piyasa Degeri,,,
reports/presentation/league_metrics_benchmark_test.csv,ok,,21.0,8.0,0.002,0.0,0.0,0.0,utf-8-sig,",",League | r2 | r2_pct | mae_eur | rmse_eur | mape_pct | within_2x_band_pct | n_test,,,,League,,,,,,
reports/presentation/league_metrics_honest_test.csv,ok,,21.0,8.0,0.002,0.0,0.0,0.0,utf-8-sig,",",League | r2 | r2_pct | mae_eur | rmse_eur | mape_pct | within_2x_band_pct | n_test,,,,League,,,,,,
reports/presentation/model_comparison.csv,ok,,2.0,11.0,0.0,0.0,0.0,0.0,utf-8-sig,",",model_key | description | r2 | r2_pct | mae_eur | rmse_eur | mape_pct | within_2x_band_pct | n_test | n_train | feature_count,,,,,,,,,,
reports/presentation/predictions_sample_benchmark.csv,ok,,400.0,9.0,0.05,0.0,0.0,0.0,utf-8-sig,",",İsim | League | Team | TM_Position | PD_Guncel | PD_Gercek | PD_Tahmin | Hata_EUR | Hata_Pct,,,PD_Guncel,League,Team,TM_Position,,,,
reports/presentation/predictions_sample_honest.csv,ok,,400.0,9.0,0.05,0.0,0.0,0.0,utf-8-sig,",",İsim | League | Team | TM_Position | PD_Guncel | PD_Gercek | PD_Tahmin | Hata_EUR | Hata_Pct,,,PD_Guncel,League,Team,TM_Position,,,,
reports/presentation/predictions_worst15_honest.csv,ok,,15.0,8.0,0.002,0.0,0.0,0.0,utf-8-sig,",",İsim | League | Team | TM_Position | PD_Guncel | PD_Gercek | PD_Tahmin | Hata_EUR,,,PD_Guncel,League,Team,TM_Position,,,,
data/processed/engineered_master_dataset.csv,ok,,20744.0,122.0,17.886,0.0,0.0,0.0,utf-8-sig,",",İsim | Oyuncu_ID | Sezon | Turnuva_Ligi | rating | countRating | goals | bigChancesCreated | bigChancesMissed | assists | expectedAssists | accuratePasses | accuratePassesPercentage | accurateOwnHalfPasses | accurateOppositionHalfPasses | accurateFinalThirdPasses | keyPasses | successfulDribbles | successfulDribblesPercentage | tackles | interceptions | yellowCards | directRedCards | redCards | accurateCrosses | accurateCrossesPercentage | totalShots | shotsOnTarget | groundDuelsWon | groundDuelsWonPercentage | aerialDuelsWon | aerialDuelsWonPercentage | minutesPlayed | goalConversionPercentage | penaltiesTaken | penaltyWon | penaltyConceded | shotFromSetPiece | freeKickGoal | accurateLongBalls | accurateLongBallsPercentage | clearances | errorLeadToGoal | errorLeadToShot | dispossessed | possessionLost | possessionWonAttThird | accurateChippedPasses | touches | wasFouled | fouls | hitWoodwork | ownGoals | dribbledPast | offsides | blockedShots | passToAssist | saves | cleanSheet | penaltySave | punches | runsOut | successfulRunsOut | highClaims | crossesNotClaimed | setPieceConversion | goalsConceded | tacklesWonPercentage | yellowRedCards | totwAppearances | expectedGoals | ballRecovery | outfielderBlocks | goalsPrevented | League | Team | TM_Foot | TM_Height_cm | TM_Position | TM_Sub_Position | TM_Date_Of_Birth | PD_Guncel | Takim_Adi | Lig_Ort_Pd | Lig_Oyuncu_Sayisi | Lig_Guc_0_100 | Kulup_Ort_Pd | Kulup_Oyuncu_Sayisi | Kulup_Guc_0_100 | Mins_90 | goals_Per90 | assists_Per90 | expectedGoals_Per90 | bigChancesCreated_Per90 | keyPasses_Per90 | accuratePasses_Per90 | accurateLongBalls_Per90 | successfulDribbles_Per90 | interceptions_Per90 | ballRecovery_Per90 | clearances_Per90 | outfielderBlocks_Per90 | goalsPrevented_Per90 | saves_Per90 | errorLeadToGoal_Per90 | errorLeadToShot_Per90 | penaltyConceded_Per90 | accurateCrosses_Per90 | xG_Overperformance | Shot_Conversion_Rate | Goal_Involvement_Per90 | xA_Overperformance | Assist_Dominance_Per90 | Duel_Dominance_Ratio | Aerial_Supremacy_Ratio | Passing_Reliability | Defensive_Action_Volume_Per90 | Error_Liability_Per90 | Playmaking_Index | Deep_Impact_Index | Shot_Stopping_Efficiency | TM_Height_m,Oyuncu_ID,,PD_Guncel,Turnuva_Ligi,Team,accurateOppositionHalfPasses,accuratePassesPercentage,minutesPlayed,goals,assists
data/processed/engineered_master_dataset_high_r2.csv,ok,,20744.0,136.0,20.691,0.0,0.0,0.0,utf-8-sig,",",İsim | Oyuncu_ID | Sezon | Turnuva_Ligi | rating | countRating | goals | bigChancesCreated | bigChancesMissed | assists | expectedAssists | accuratePasses | accuratePassesPercentage | accurateOwnHalfPasses | accurateOppositionHalfPasses | accurateFinalThirdPasses | keyPasses | successfulDribbles | successfulDribblesPercentage | tackles | interceptions | yellowCards | directRedCards | redCards | accurateCrosses | accurateCrossesPercentage | totalShots | shotsOnTarget | groundDuelsWon | groundDuelsWonPercentage | aerialDuelsWon | aerialDuelsWonPercentage | minutesPlayed | goalConversionPercentage | penaltiesTaken | penaltyWon | penaltyConceded | shotFromSetPiece | freeKickGoal | accurateLongBalls | accurateLongBallsPercentage | clearances | errorLeadToGoal | errorLeadToShot | dispossessed | possessionLost | possessionWonAttThird | accurateChippedPasses | touches | wasFouled | fouls | hitWoodwork | ownGoals | dribbledPast | offsides | blockedShots | passToAssist | saves | cleanSheet | penaltySave | punches | runsOut | successfulRunsOut | highClaims | crossesNotClaimed | setPieceConversion | goalsConceded | tacklesWonPercentage | yellowRedCards | totwAppearances | expectedGoals | ballRecovery | outfielderBlocks | goalsPrevented | League | Team | TM_Foot | TM_Height_cm | TM_Position | TM_Sub_Position | TM_Date_Of_Birth | PD_Guncel | Takim_Adi | PD_23_Yaz | PD_23_Kis | PD_24_Yaz | PD_24_Kis | PD_25_Yaz | Lig_Ort_Pd | Lig_Oyuncu_Sayisi | Lig_Guc_0_100 | Kulup_Ort_Pd | Kulup_Oyuncu_Sayisi | Kulup_Guc_0_100 | Mins_90 | goals_Per90 | assists_Per90 | expectedGoals_Per90 | bigChancesCreated_Per90 | keyPasses_Per90 | accuratePasses_Per90 | accurateLongBalls_Per90 | successfulDribbles_Per90 | interceptions_Per90 | ballRecovery_Per90 | clearances_Per90 | outfielderBlocks_Per90 | goalsPrevented_Per90 | saves_Per90 | errorLeadToGoal_Per90 | errorLeadToShot_Per90 | penaltyConceded_Per90 | accurateCrosses_Per90 | xG_Overperformance | Shot_Conversion_Rate | Goal_Involvement_Per90 | xA_Overperformance | Assist_Dominance_Per90 | Duel_Dominance_Ratio | Aerial_Supremacy_Ratio | Passing_Reliability | Defensive_Action_Volume_Per90 | Error_Liability_Per90 | Playmaking_Index | Deep_Impact_Index | Shot_Stopping_Efficiency | TM_Height_m | PD_hist_mean | PD_hist_max | PD_hist_min | PD_hist_span | PD_hist_std | PD_delta_25y_24k | PD_delta_24y_23y | PD_ratio_25_23 | PD_accel_2step,Oyuncu_ID,,PD_Guncel,Turnuva_Ligi,Team,accurateOppositionHalfPasses,accuratePassesPercentage,minutesPlayed,goals,assists
data/processed/kulup_guc_by_team.csv,ok,,308.0,6.0,0.028,0.0,0.0,0.0,utf-8-sig,",",League | Team | Kulup_Oyuncu_Sayisi | Kulup_Toplam_PD | Kulup_Ort_Pd | Kulup_Guc_0_100,Kulup_Oyuncu_Sayisi,,Kulup_Toplam_PD,League,Team,,,,,
data/processed/lig_guc_by_league.csv,ok,,19.0,5.0,0.001,0.0,0.0,0.0,utf-8-sig,",",League | Lig_Oyuncu_Sayisi | Lig_Toplam_PD | Lig_Ort_Pd | Lig_Guc_0_100,Lig_Oyuncu_Sayisi,,Lig_Toplam_PD,League,,,,,,
data/processed/pd_manual_merge_matched.csv,ok,,986.0,10.0,0.185,11.0,0.0011,0.0,utf-8-sig,",",Kaynak_Dosya | Hedef_Lig | Takim_TM | Oyuncu_TM | Oyuncu_ID | İsim_Sealed | Takim_Adi_Sealed | PD_Once | PD_Sonra | Not,Oyuncu_TM,,PD_Once,Hedef_Lig,Takim_TM,,,,,
data/processed/pd_manual_merge_skipped.csv,ok,,70.0,7.0,0.011,70.0,0.1429,0.0,utf-8-sig,",",Kaynak_Dosya | Hedef_Lig | Takim | Oyuncu_Adi | Parsed_PDEUR | Sebep | Guncel_TM_Metin,Oyuncu_Adi,,Parsed_PDEUR,Hedef_Lig,Takim,,,,,
data/processed/pd_manual_merge_unmatched.csv,ok,,96.0,7.0,0.028,0.0,0.0,0.0,utf-8-sig,",",Kaynak_Dosya | Hedef_Lig | Takim | Oyuncu_Adi | Guncel_TM_Metin | Parsed_PDEUR | Sebep,Oyuncu_Adi,,Parsed_PDEUR,Hedef_Lig,Takim,,,,,
data/processed/sealed_master_dataset.csv,ok,,21817.0,83.0,8.957,1367.0,0.0008,0.0,utf-8-sig,",",İsim | Oyuncu_ID | Sezon | Turnuva_Ligi | rating | countRating | goals | bigChancesCreated | bigChancesMissed | assists | expectedAssists | accuratePasses | accuratePassesPercentage | accurateOwnHalfPasses | accurateOppositionHalfPasses | accurateFinalThirdPasses | keyPasses | successfulDribbles | successfulDribblesPercentage | tackles | interceptions | yellowCards | directRedCards | redCards | accurateCrosses | accurateCrossesPercentage | totalShots | shotsOnTarget | groundDuelsWon | groundDuelsWonPercentage | aerialDuelsWon | aerialDuelsWonPercentage | minutesPlayed | goalConversionPercentage | penaltiesTaken | penaltyWon | penaltyConceded | shotFromSetPiece | freeKickGoal | accurateLongBalls | accurateLongBallsPercentage | clearances | errorLeadToGoal | errorLeadToShot | dispossessed | possessionLost | possessionWonAttThird | accurateChippedPasses | touches | wasFouled | fouls | hitWoodwork | ownGoals | dribbledPast | offsides | blockedShots | passToAssist | saves | cleanSheet | penaltySave | punches | runsOut | successfulRunsOut | highClaims | crossesNotClaimed | setPieceConversion | goalsConceded | tacklesWonPercentage | yellowRedCards | totwAppearances | expectedGoals | ballRecovery | outfielderBlocks | goalsPrevented | League | Team | TM_Foot | TM_Height_cm | TM_Position | TM_Sub_Position | TM_Date_Of_Birth | PD_Guncel | Takim_Adi,Oyuncu_ID,,PD_Guncel,Turnuva_Ligi,Team,accurateOppositionHalfPasses,accuratePassesPercentage,minutesPlayed,goals,assists
data/processed/tm_sofa_id_pd_master.csv,ok,,8279.0,2.0,0.158,37.0,0.0022,0.0,utf-8-sig,",",sofascore_id | PD_Guncel,,sofascore_id,PD_Guncel,,,,,,,
data/raw/clubs.csv,ok,,796.0,17.0,0.176,1597.0,0.118,0.0,utf-8-sig,",",club_id | club_code | name | domestic_competition_id | total_market_value | squad_size | average_age | foreigners_number | foreigners_percentage | national_team_players | stadium_name | stadium_seats | net_transfer_record | coach_name | last_season | filename | url,name,,total_market_value,domestic_competition_id,club_id,,average_age,,,
data/raw/club_games.csv,ok,,173966.0,11.0,10.294,104264.0,0.0545,0.0,utf-8-sig,",",game_id | club_id | own_goals | own_position | own_manager_name | opponent_id | opponent_goals | opponent_position | opponent_manager_name | hosting | is_win,own_manager_name,,,,club_id,own_position,own_manager_name,,own_goals,
data/raw/competitions.csv,ok,,67.0,11.0,0.011,42.0,0.057,0.0,utf-8-sig,",",competition_id | competition_code | name | sub_type | type | country_id | country_name | domestic_league_code | confederation | total_clubs | url,name,,,competition_id,total_clubs,,,,,
data/raw/countries.csv,ok,,118.0,8.0,0.012,0.0,0.0,0.0,utf-8-sig,",",country_id | country_name | country_code | confederation | total_clubs | total_players | average_age | url,country_name,,,,total_clubs,,average_age,,,
data/raw/filtered_elite_players.csv,ok,,36812.0,26.0,12.614,143042.0,0.1495,0.0,utf-8-sig,",",player_id | first_name | last_name | name | last_season | current_club_id | player_code | country_of_birth | city_of_birth | country_of_citizenship | date_of_birth | sub_position | position | foot | height_in_cm | contract_expiration_date | agent_name | image_url | international_caps | international_goals | current_national_team_id | url | current_club_domestic_competition_id | current_club_name | market_value_in_eur | highest_market_value_in_eur,player_id,,market_value_in_eur,current_club_domestic_competition_id,current_club_id,sub_position,agent_name,,international_goals,
data/raw/national_teams.csv,ok,,118.0,17.0,0.024,127.0,0.0633,0.0,utf-8-sig,",",national_team_id | name | team_code | country_id | country_name | country_code | confederation | team_image_url | squad_size | average_age | foreigners_number | foreigners_percentage | total_market_value | coach_name | fifa_ranking | last_season | url,name,,total_market_value,,national_team_id,,team_image_url,,,
data/raw/players.csv,ok,,47702.0,26.0,15.952,188546.0,0.152,0.0,utf-8-sig,",",player_id | first_name | last_name | name | last_season | current_club_id | player_code | country_of_birth | city_of_birth | country_of_citizenship | date_of_birth | sub_position | position | foot | height_in_cm | contract_expiration_date | agent_name | image_url | international_caps | international_goals | current_national_team_id | url | current_club_domestic_competition_id | current_club_name | market_value_in_eur | highest_market_value_in_eur,player_id,,market_value_in_eur,current_club_domestic_competition_id,current_club_id,sub_position,agent_name,,international_goals,
data/raw/player_stats_market_value.csv,ok,,600.0,13.0,0.076,70.0,0.009,0.0,utf-8-sig,",",Player_Name | Age | League | Position | Preferred_Foot | Minutes_Played | Pass_Accuracy_% | Key_Passes | Duels_Won | Tackles | xG | xA | Market_Value_Euros,Player_Name,,Market_Value_Euros,League,,Position,Age,Minutes_Played,,
data/raw/player_valuations.csv,ok,,616377.0,6.0,28.632,71820.0,0.0194,0.0,utf-8-sig,",",player_id | date | market_value_in_eur | current_club_name | current_club_id | player_club_domestic_competition_id,player_id,,market_value_in_eur,player_club_domestic_competition_id,current_club_name,,,,,
data/raw/transfers.csv,ok,,157186.0,10.0,12.723,115681.0,0.0736,0.0,utf-8-sig,",",player_id | transfer_date | transfer_season | from_club_id | to_club_id | from_club_name | to_club_name | transfer_fee | market_value_in_eur | player_name,player_id,,market_value_in_eur,,from_club_id,,,,,
data/reports/missing_sofa_id_rows.csv,read_error,CSV okunamadı. Son hata: No columns to parse from file,,,0.0,,,,,,,,,,,,,,,,
data/reports/missing_sofa_id_summary.csv,ok,,308.0,10.0,0.177,308.0,0.1,0.0,utf-8-sig,",",file | league_folder | status | error | columns | total_rows | missing_sofa_id_count | missing_ratio | sofa_id_column | player_name_column,player_name_column,missing_sofa_id_count,,league_folder,,,,,,
data/structured/transfermarkt/Almanya_bundesliga/1_fuballclub_heidenheim_1846.csv,ok,,27.0,27.0,0.011,60.0,0.0823,0.0,utf-8-sig,",",player_id | first_name | last_name | name | last_season | current_club_id | player_code | country_of_birth | city_of_birth | country_of_citizenship | date_of_birth | sub_position | position | foot | height_in_cm | contract_expiration_date | agent_name | image_url | international_caps | international_goals | current_national_team_id | url | current_club_domestic_competition_id | current_club_name | market_value_in_eur | highest_market_value_in_eur | sofascore_id,player_id,sofascore_id,market_value_in_eur,current_club_domestic_competition_id,current_club_id,sub_position,agent_name,,international_goals,
